,H1-PelletTriflic-Fl-R1,H1-PelletTriflic-Fl-R2,H1-PelletTriflic-Fl-R3,H1-SonicSupTriflic-V2-R1,H1-SonicSupTriflic-V2-R2,H1-SonicSupTriflic-V2-R3,H1-wholetriflic-R1,H1-wholetriflic-R2,H1-wholetriflic-R3
3615355,0,0,0,0,0,0,5,2,3
3615630,0,0,0,0,0,0,0,3,3
3615952,1,2,4,4,1,2,0,5,3
3625404,0,0,0,0,0,6,3,7,0
3647656,12,10,12,0,0,0,10,13,11
3650534,20,23,26,20,23,19,27,26,22
3691661,0,0,0,0,0,0,4,0,0
3693076,0,0,0,0,0,0,4,6,0
3693214,0,3,4,7,8,8,0,2,0
3704668,8,8,10,0,0,0,4,4,4
3713116,1,3,2,2,6,4,2,2,2
3723795,6,6,5,2,3,2,8,7,6
3727075,0,0,1,3,1,2,3,5,2
3727159,11,11,19,0,0,0,14,8,13
3730682,19,21,26,0,0,0,20,25,18
3746914,2,0,0,0,0,0,0,0,0
3768840,0,0,0,0,3,0,0,0,0
3770272,4,0,3,0,0,0,5,0,4
3770401,0,0,0,2,0,0,0,0,0
3771706,0,0,4,0,0,0,0,0,0
3773754,0,0,0,5,4,2,0,0,0
3774409,10,2,2,0,0,0,13,7,16
3774537,2,0,0,3,4,3,6,6,5
3775835,0,2,2,3,2,5,0,0,0
3775978,0,0,0,3,2,1,0,0,0
3776237,2,2,3,0,0,0,6,5,6
3776464,5,7,7,0,0,2,7,5,9
3776479,18,13,13,0,0,0,23,11,17
3776630,0,2,5,0,0,0,0,1,2
3776934,0,0,0,7,5,6,0,0,0
3814117,14,17,12,0,0,0,9,11,8
3966757,12,15,8,19,15,8,15,8,11
3966777,35,33,41,0,0,0,25,34,28
3967585,7,6,7,2,3,2,9,8,8
3972270,151,155,146,27,19,23,132,99,113
4002285,2,2,3,0,0,0,6,5,6
4009240,42,37,41,10,11,11,34,41,27
4010688,3,2,0,0,0,0,0,0,0
4011324,13,17,13,16,18,14,6,0,0
4012862,0,0,0,10,9,7,0,0,0
4013051,10,12,10,203,219,228,10,16,8
4013239,0,0,0,0,0,0,2,3,4
4013360,0,0,0,0,0,0,12,16,18
4013760,0,2,3,0,0,0,0,2,0
4013776,46,38,39,0,0,0,51,49,41
4013778,4,5,4,0,0,0,0,0,0
4013914,2,2,3,0,0,0,6,5,6
4014039,3,5,3,0,0,0,5,4,7
4019084,8,2,12,0,0,0,6,9,9
4024950,2,2,3,0,0,0,6,5,6
4052479,1,2,1,0,0,0,3,3,2
4077657,4,5,3,2,3,2,5,3,4
4081737,8,8,11,0,0,0,4,4,4
4096188,9,8,12,2,3,1,5,7,5
4098765,8,4,10,0,0,0,9,5,10
4098784,6,6,7,14,12,12,6,5,5
4099172,5,3,4,0,0,0,1,2,4
4099366,2,2,3,0,0,0,6,5,6
4100571,25,20,20,5,7,5,17,21,21
4116244,12,11,13,0,0,0,20,21,13
4137138,3,4,2,0,0,0,1,2,1
4172233,4,3,5,0,0,0,4,4,4
4172235,2,3,3,0,0,0,0,3,1
4180972,0,0,0,2,3,0,4,2,2
4182998,1,0,0,1,3,1,0,0,1
4220508,3,3,2,8,9,5,2,2,5
4224618,7,8,5,12,14,12,9,7,7
4228803,4,4,3,2,3,3,5,3,4
4239257,6,3,5,0,0,0,4,5,6
4239579,11,14,13,0,0,0,14,18,19
4239580,14,13,9,0,0,0,8,11,10
4239594,8,5,7,0,0,0,13,13,8
4239607,0,0,0,0,0,0,6,7,5
4244190,0,3,0,0,0,0,0,2,0
4258279,0,1,2,0,0,0,0,2,0
4258282,10,12,14,0,0,0,7,13,10
4328229,0,0,0,0,0,0,0,0,2
4343484,24,26,24,0,2,0,19,23,19
4343870,2,2,3,0,0,0,6,5,6
4344665,119,112,114,21,24,20,117,117,107
4423617,2,3,2,0,0,0,1,2,2
4427266,0,0,0,0,0,0,0,0,4
4494265,25,27,29,0,0,0,29,19,25
4501318,3,5,2,0,0,0,0,0,0
4501661,11,9,12,0,0,0,15,16,10
4510354,16,12,15,5,10,7,9,7,9
4541189,1,4,5,0,0,0,0,0,0
4579963,4,6,5,0,0,0,6,5,5
4593789,9,11,8,6,6,7,6,5,6
4596523,3,4,6,1,2,1,3,3,6
4603422,0,0,0,0,0,0,3,4,2
4626969,11,17,21,0,0,0,6,12,11
4627187,4,4,4,0,0,0,6,2,6
4627267,19,22,23,0,0,0,30,25,16
4663007,2,1,2,3,1,1,0,1,3
4679095,3,5,3,0,0,0,4,0,3
4706576,14,12,10,42,41,35,13,8,10
4745251,6,3,5,0,0,0,0,2,3
4754130,0,0,0,0,0,0,0,4,0
4754940,5,7,0,0,0,0,7,6,11
4758108,5,5,9,0,0,0,7,11,5
4761588,29,27,23,0,0,0,12,18,12
4774708,6,6,7,0,0,0,5,3,2
4775171,1,0,0,0,0,0,0,6,2
4776583,11,8,9,6,4,6,6,7,7
4776674,10,12,10,0,0,0,15,12,11
4776741,2,2,1,0,0,0,1,3,3
4778236,1,2,2,0,0,0,2,2,0
4785391,3,2,3,0,0,0,0,0,0
4788039,0,1,2,0,0,0,0,2,0
4791570,11,14,17,0,0,0,9,17,11
4791572,3,2,3,0,0,0,0,0,0
4791940,8,7,7,0,0,0,2,1,0
4792456,0,0,2,3,5,4,1,2,2
4793078,1,0,0,0,0,0,0,6,2
4816499,98,93,105,8,9,10,98,75,92
4837847,10,12,10,0,0,0,9,6,0
4902052,9,9,8,4,6,7,11,10,10
4903439,9,9,10,7,9,8,8,7,7
4938789,9,11,8,13,12,13,0,0,4
4939223,44,42,42,80,76,81,164,148,127
4939224,10,10,13,13,12,9,6,3,3
5001643,3,2,2,0,0,0,1,1,0
5017696,0,2,0,4,5,6,0,0,0
5018106,16,7,10,2,3,2,15,16,12
5053713,5,4,5,2,3,2,6,4,6
5053794,0,8,5,6,3,0,0,5,5
5062281,0,0,0,0,0,0,18,17,16
5086275,11,17,20,20,17,18,18,11,14
5090162,3,4,2,0,0,0,1,2,1
5094399,0,0,0,0,0,0,6,3,0
5095253,2,2,3,0,0,0,6,5,6
5103840,0,0,0,0,0,0,0,0,3
5104356,2,2,3,0,0,0,6,5,6
5105172,3,5,4,0,0,0,0,0,0
5107172,3,0,0,0,0,0,0,3,0
5107176,37,46,36,6,4,7,31,28,22
5107185,17,20,13,0,0,0,0,9,0
5107188,0,0,0,0,0,0,0,0,2
5107198,10,12,8,0,0,0,7,5,7
5107877,4,4,0,0,0,0,0,0,0
5108181,11,8,9,0,0,0,11,10,2
5108275,2,5,0,0,0,0,0,0,0
5108758,0,0,0,5,5,4,0,0,0
5194213,0,0,0,0,0,0,6,3,0
5200631,24,29,29,2,0,2,13,14,16
5201341,0,0,0,0,5,4,0,0,0
5201609,28,28,23,24,23,21,19,17,15
5201836,5,7,6,10,10,9,3,4,4
5227972,0,0,2,0,0,0,0,0,0
5245426,4,4,3,4,1,4,2,0,4
5248047,6,6,5,2,3,2,8,7,6
5268480,4,4,3,4,1,4,2,0,5
5306619,5,2,4,0,0,0,2,5,9
5307609,9,6,0,0,0,0,0,0,0
5324058,0,0,1,3,1,2,3,5,2
5325890,5,6,3,12,11,9,9,7,8
5367232,21,20,18,19,21,17,25,24,25
5377188,0,3,5,0,0,5,0,0,0
5495963,6,5,6,1,1,0,2,4,4
5531737,7,9,8,7,6,5,8,7,7
5535467,8,8,11,0,0,0,4,4,4
5536222,4,4,3,4,1,4,2,0,4
5543767,0,0,0,0,2,0,0,2,0
5561115,2,3,3,0,0,0,0,3,1
5592609,9,11,8,6,6,7,6,5,6
5616151,2,2,3,0,0,0,6,5,6
5617344,1,4,5,0,0,0,0,0,0
5617510,0,3,5,0,0,5,0,0,0
5662012,3,3,3,0,0,0,1,2,2
5670836,2,2,3,0,0,0,6,5,6
5673728,4,2,2,0,2,0,2,4,4
5681276,10,10,11,0,0,0,5,4,4
5682229,3,2,3,0,0,0,0,0,0
5710574,5,10,8,6,4,3,4,6,7
5710678,1,2,1,0,0,0,3,4,1
5711881,10,12,12,7,7,10,1,2,2
5720955,0,0,0,9,11,13,4,4,3
5733333,4,0,0,0,0,0,5,4,3
5746583,3,3,5,0,2,0,3,5,3
5798443,2,2,3,0,0,0,6,5,6
5830787,11,13,16,0,0,0,9,16,11
5840159,12,7,7,4,0,0,5,4,0
5887279,8,8,10,0,0,0,4,4,4
5889071,17,20,17,1,0,1,17,10,15
5891360,0,0,0,0,0,0,1,2,2
5892209,0,0,3,18,18,20,0,0,0
5909887,6,6,5,9,10,4,6,6,4
5911078,16,13,15,22,17,16,16,20,21
5935710,4,5,7,0,0,0,0,0,0
5935720,9,6,9,0,0,0,17,17,10
5958803,2,2,3,0,0,0,6,5,6
5973164,1,2,1,0,0,0,3,4,1
5996052,3,2,3,0,0,0,0,0,0
6023174,7,5,7,0,0,0,4,4,4
6025181,2,6,6,0,0,0,0,0,1
6028622,6,6,5,2,3,2,8,7,6
6060948,2,2,2,0,0,0,4,5,2
6085738,17,19,17,0,2,0,12,15,11
6107407,12,12,14,2,3,2,22,22,24
6116393,3,2,3,0,0,0,3,2,0
6117102,4,4,6,7,8,9,5,6,7
6122871,2,2,3,0,0,0,6,5,6
6130233,23,16,21,24,23,15,0,0,0
6130446,21,15,13,0,0,0,13,22,11
6130501,4,5,4,7,5,6,2,0,1
6130760,0,7,0,0,0,0,0,0,0
6131197,7,12,10,0,0,0,8,6,10
6131330,26,26,19,0,0,0,26,24,24
6167382,2,2,3,0,0,0,6,5,6
6176730,13,9,10,14,18,14,16,13,16
6186763,8,10,9,2,3,2,7,11,10
6205495,0,0,0,0,0,0,5,7,5
6205815,5,4,3,0,0,0,3,2,3
6206534,0,0,0,0,0,0,2,3,4
6215575,3,4,1,0,0,0,8,7,11
6215723,0,2,2,1,2,2,0,0,0
6216247,65,53,61,0,0,0,7,12,6
6216328,36,30,23,0,0,0,20,16,9
6240736,2,4,4,0,0,0,4,2,4
6244527,0,5,0,0,4,0,0,5,7
6310322,1,0,2,2,1,3,1,2,2
6326277,0,0,0,0,0,0,2,0,0
6343409,6,6,5,2,3,2,8,7,6
6356194,17,20,19,4,1,0,20,11,17
6367684,0,0,2,0,0,0,0,0,0
6384290,3,3,4,0,0,0,2,2,5
6410203,0,0,0,0,0,0,0,0,2
6477545,10,8,5,0,0,0,5,4,4
6529234,4,4,3,4,1,4,2,0,4
6538767,9,11,8,6,6,7,6,5,6
6561005,3,2,0,0,0,0,1,2,0
6561651,7,7,9,0,5,4,2,3,2
6569127,8,9,9,7,6,9,0,0,0
6573028,6,8,8,0,0,0,0,0,0
6573074,18,9,11,0,0,0,11,9,8
6573126,2,3,3,0,0,0,0,3,2
6579186,11,13,16,0,0,0,9,16,11
6620919,11,3,2,6,3,6,5,6,6
6650876,9,12,13,0,0,0,7,13,10
6693917,3,1,1,0,2,0,1,0,1
6702548,11,8,4,0,0,0,8,8,6
6702801,6,6,5,2,3,2,8,7,6
6741001,6,6,3,0,0,0,4,0,0
6741654,10,8,4,0,0,0,6,3,2
6741727,1,4,4,0,0,0,0,0,0
6742004,3,3,4,0,0,0,4,5,5
6743157,0,1,1,0,0,0,9,7,7
6743301,18,20,24,12,12,8,27,19,20
6764341,0,0,0,0,0,0,0,3,0
6789864,6,5,9,0,0,0,0,1,5
6851580,4,4,3,4,1,4,2,0,4
6852416,6,6,5,2,3,2,8,7,6
6924770,8,9,9,7,7,9,0,0,0
6987504,8,8,5,12,11,9,11,11,11
6996774,0,0,0,0,0,0,14,23,21
6997781,0,0,0,0,0,0,16,18,16
6998043,0,0,0,0,0,0,26,32,26
6998082,0,0,0,0,0,0,4,0,0
6998407,0,0,0,0,0,0,3,0,0
6998422,0,0,0,0,0,0,0,0,2
7008534,7,11,15,15,13,14,13,7,8
7009404,5,4,3,0,0,0,3,2,3
7010660,19,16,11,0,0,0,25,28,21
7011122,55,53,53,0,0,0,36,35,26
7089159,8,6,2,0,0,0,4,3,5
7091833,2,2,3,0,0,0,6,5,6
7092868,5,5,5,0,2,2,3,6,5
7099059,5,7,5,9,7,7,10,10,8
7101911,11,10,14,18,15,17,8,11,8
7114893,6,6,5,2,3,2,8,7,6
7139969,9,9,9,7,6,9,0,0,0
7140464,2,2,2,0,0,0,4,5,2
7167401,1,4,2,0,0,0,3,4,2
7173479,6,5,4,0,0,0,0,4,0
7229688,7,7,8,8,9,6,6,7,4
7259645,6,6,7,0,0,0,5,3,2
7261194,11,12,12,15,22,19,10,12,9
7261272,11,11,14,2,3,2,21,21,21
7261765,3,5,4,0,0,0,0,0,0
7263134,5,4,4,10,11,9,3,4,4
7267974,2,2,3,0,0,0,6,5,6
7271695,0,9,4,0,0,0,0,0,0
7286941,2,2,3,0,0,0,6,5,6
7287149,7,5,6,0,0,0,7,10,10
7287519,7,3,6,0,0,0,3,4,4
7289884,11,10,13,0,0,0,4,4,4
7290535,17,20,17,0,2,0,12,15,11
7297234,6,6,5,2,3,2,8,7,6
7297873,9,6,9,0,0,0,18,18,14
7298179,2,4,4,3,8,5,4,4,4
7309750,6,6,5,2,3,2,8,7,6
7344477,4,4,6,7,8,9,5,6,7
7366547,2,2,3,0,0,0,6,5,6
7369045,2,2,3,0,0,0,6,5,6
7381866,21,24,21,0,2,0,17,20,16
7412623,3,2,5,0,0,0,0,0,0
7412647,9,13,11,0,0,0,7,13,6
7430033,2,2,3,0,0,0,6,5,6
7435790,2,2,3,0,0,0,6,5,6
7439957,3,7,4,2,9,6,4,3,4
7440434,4,3,5,0,0,0,4,4,4
7441750,14,18,20,0,0,5,8,6,10
7445678,3,2,3,0,0,0,0,0,0
7458043,12,3,0,0,0,0,6,0,0
7467081,0,0,0,1,3,2,2,0,0
7476042,11,13,16,0,0,0,9,16,11
7477105,4,4,3,2,3,2,6,4,4
7481626,8,12,11,0,0,0,2,0,0
7481627,1,1,2,0,0,0,3,4,2
7481628,4,5,7,0,0,0,0,0,0
7491772,2,2,3,0,0,0,6,5,6
7497632,2,2,0,0,0,0,4,4,5
7498897,0,0,2,0,0,0,0,0,0
7503338,1,3,3,0,0,0,3,2,0
7505551,5,10,8,21,26,22,11,11,9
7521189,26,24,31,29,28,22,27,30,22
7522455,0,9,10,0,0,0,5,0,4
7522635,10,10,9,0,0,0,11,11,6
7523387,4,5,7,0,0,0,0,0,0
7529421,7,7,6,3,2,4,8,9,9
7530963,2,2,3,0,0,0,6,5,6
7531200,0,0,0,0,0,0,2,2,1
7537080,11,13,16,0,0,0,9,16,11
7539645,6,6,5,2,3,2,8,7,6
7552723,27,14,22,0,0,0,14,13,10
7552733,20,18,14,0,0,0,8,7,9
7552743,5,0,3,0,0,0,0,0,0
7553293,15,13,16,5,0,0,8,9,5
7554865,5,4,5,2,3,2,6,4,6
7554930,7,8,0,0,0,0,0,0,0
7555076,15,13,12,0,0,0,0,0,0
7562205,2,0,0,2,1,0,2,2,0
7568577,18,15,19,30,31,30,18,14,11
7569326,47,39,51,11,10,12,38,38,30
7580099,13,15,16,0,0,0,15,23,17
7583511,2,2,3,0,0,0,6,5,6
7592594,4,4,6,7,8,9,5,6,7
7598496,11,13,16,0,0,0,9,16,11
7607889,2,2,3,0,0,0,6,5,6
7617589,0,1,2,0,0,0,0,2,0
7627337,3,3,4,0,0,0,1,2,5
7627478,4,6,8,0,0,0,2,5,5
7678047,2,2,3,0,0,0,6,5,6
7684144,1,0,1,0,0,0,0,0,2
7684206,0,0,0,11,11,15,4,4,3
7690955,0,0,6,0,0,0,0,0,0
7691051,12,14,8,0,0,0,11,11,7
7691240,2,5,3,0,0,0,0,0,0
7691951,16,11,16,0,0,0,4,6,6
7691987,2,0,0,0,0,0,0,3,0
7694238,6,8,8,3,9,5,8,8,7
7697530,6,5,4,0,0,0,0,4,0
7752843,0,0,0,3,2,0,3,0,0
7795232,4,4,6,7,8,9,5,6,7
7802875,1,2,0,0,0,0,2,2,1
7822625,90,76,87,62,63,65,75,72,64
7825230,3,4,2,0,0,0,3,3,4
7931537,2,2,3,0,0,0,6,5,6
7937195,3,2,5,0,0,0,0,0,0
7937898,6,6,8,0,0,0,0,7,0
7939223,8,0,6,0,0,0,9,8,12
7962146,2,2,3,0,0,0,6,5,6
7965261,0,0,0,32,39,45,4,6,6
