"","H1_PelletTriflic_Fl_R1","H1_PelletTriflic_Fl_R2","H1_PelletTriflic_Fl_R3","H1_SonicSupTriflic_V2_R1","H1_SonicSupTriflic_V2_R2","H1_SonicSupTriflic_V2_R3","H1_wholetriflic_R1","H1_wholetriflic_R2","H1_wholetriflic_R3"
"56018726",3.65525897135169,3.65621456214349,3.73369731670766,3.53636716115595,3.53636716115595,3.53636716115595,3.95174980122194,3.88893982300725,3.98466726063463
"56025285",3.53636716115595,3.53636716115595,3.53636716115595,4.25195576064609,4.18623461090064,4.32152606736027,3.95174980122194,3.7453039044158,3.92111803983263
"56035352",3.53636716115595,3.53636716115595,3.53636716115595,3.89788177515696,3.78749900742069,3.64504802010064,3.53636716115595,3.53636716115595,3.53636716115595
"56037641",5.24417664889356,5.22324410122036,5.30907422331791,3.53636716115595,3.53636716115595,3.53636716115595,4.55758448819934,4.51132579632444,4.71300015123304
"56039311",3.65525897135169,3.58595447815359,3.6530894836839,4.29086871125553,4.2680637041073,4.40034802603518,3.53636716115595,3.53636716115595,3.53636716115595
"56040554",3.81275054827961,3.73864299363903,3.73369731670766,3.53636716115595,3.53636716115595,3.53636716115595,3.74722024957899,3.53636716115595,3.92111803983263
"56041694",3.73713882203652,3.93984296783162,3.87421786996274,3.77974845912715,3.78749900742069,3.64504802010064,3.66175413389045,3.82206430322607,3.67784820253892
"56043654",4.56569078685438,4.64613865653071,4.70167474490325,3.77974845912715,3.71534288314147,3.64504802010064,4.71213790453576,4.55174119701193,4.67188555101426
"56053821",4.27824108880982,4.14529513173737,4.03893772300543,3.53636716115595,3.53636716115595,3.53636716115595,4.20959639302267,4.20563317524412,4.15539338167107
"56053833",4.98005207146899,4.9546332879469,4.93474992028326,3.53636716115595,3.53636716115595,3.53636716115595,4.55758448819934,4.38533458980872,4.54296875219719
"56055416",4.40596666068936,4.49172956252892,4.43728190198214,4.47605686932763,4.70343372268438,4.47653729617586,4.11260307561654,4.34173067071824,4.20787271352267
"56069133",4.60377881472353,4.57042137644493,4.77108311596596,3.77974845912715,4.05519653128713,3.91469490596101,4.06145059634789,4.38533458980872,4.40541601416866
"56076444",4.04466311875441,3.65621456214349,3.6530894836839,3.84199955327724,3.71534288314147,3.85745620711512,3.82424572839498,3.94908945436606,3.98466726063463
