"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"O31546",2.06544399284376,-4.68665594083157,2.53613566906002,-1.84795158950176,0.0646093463906386,0.116812621349966
"P94365",3.16794663806472,-3.29989494040187,1.78593483308942,-1.84771296200854,0.0646438778344469,0.116812621349966
"O34949",2.3928594812985,4.50850295210244,2.45000314196152,1.84020292663496,0.0657384504849361,0.11850469476655
"P94532",2.05882868836756,-4.68235186414896,2.54495631681911,-1.83985549504493,0.0657894554352693,0.11850469476655
"P12045",2.4001773917298,4.50804718866557,2.45206360210023,1.83847074146215,0.0659930693924231,0.118682774002564
"O07624",1.87225142353387,4.15318457869309,2.2702474054382,1.82939734618547,0.0673401048912336,0.120806159326915
"P52998",8.42329833499906,1.77496282508244,0.970410754272733,1.82908404226484,0.0673870191479352,0.120806159326915
"O31429",2.05221338389136,-4.67801180539518,2.56230955269399,-1.82570127035462,0.0678952717370943,0.121525028243488
"P96612",46.0997814083996,1.18449198527039,0.649426185039842,1.82390549158057,0.0681663613212425,0.121817803433703
"P02968",109.129934404946,-1.07476887779204,0.590660689023676,-1.81960455091156,0.0688192481430147,0.122597811550371
"P38021",77.6383118143431,-1.07545509972528,0.590948572859961,-1.81987934164982,0.068777381552966,0.122597811550371
"P94534",1.85512929916332,4.14097438304228,2.28183414211337,1.81475695652754,0.0695612678582389,0.123725143615989
"P39070",2.38574720208718,4.4997597042857,2.48137643538384,1.81341276564096,0.0697681821003125,0.123898668212624
"P36947",31.4267609170398,1.15616082139816,0.639426009801716,1.80812291598317,0.0705873723255182,0.125157265797828
"O34803",1.89793461008969,4.17131693648369,2.32009712633306,1.7979061691596,0.0721918783492693,0.127802184640191
"P68579",7.07537575192454,-2.11060868173438,1.1751395819317,-1.79604934952915,0.0724866688275556,0.128123862373823
"O34828",4.52588557038822,-2.82326515181639,1.57683160735078,-1.79046712322042,0.073378847955926,0.129498807996985
"P54518",11.5780577126334,-1.57778173133238,0.882176677406082,-1.78850991161048,0.0736937779941219,0.129852333541742
"O34924",5.74953294612127,-1.96863530874875,1.10417622031704,-1.78289957030908,0.0746026530583501,0.131249698625948
"P42980",2.31505202787854,4.45873593189648,2.51631455862046,1.771931063476,0.076406001203972,0.134213952502481
"P05652",16.0019790757588,1.40808583614526,0.796096487200732,1.76873765778873,0.0769376647833801,0.134938659751656
"O06967",2.26442121367572,4.42839973371933,2.5077538637249,1.7658829272589,0.077415492033446,0.135566850809728
"P37565",11.7243595692407,-1.43246282524487,0.814063408575634,-1.75964526860537,0.0784679710266599,0.137197856748774
"P39597",1.5333653599348,-4.25448176794854,2.42347427558043,-1.75552998883373,0.0791686957259916,0.138209756945375
"C0SP95",1.5267500554586,-4.24890609650511,2.42582730731793,-1.75152867794321,0.0798548858781281,0.13855373001519
"O05251",1.5267500554586,-4.24890609650511,2.42582730731793,-1.75152867794321,0.0798548858781281,0.13855373001519
"O35007",1.5267500554586,-4.24890609650511,2.42582730731793,-1.75152867794321,0.0798548858781281,0.13855373001519
"P54501",2.22746269536302,4.40108770100722,2.51132050998255,1.7524994055967,0.0796879719839309,0.13855373001519
"P71070",1.88729861818699,-4.55601288143944,2.61018772844614,-1.74547325917882,0.0809025232498586,0.140156817801361
"P37464",48.9482353104358,-0.865632631355627,0.496928581412321,-1.74196587544917,0.0815144156136787,0.140786330625454
"P54547",25.6100587403116,-1.18744497114202,0.68164562848318,-1.7420268267316,0.0815037501812197,0.140786330625454
"P39847",7.61358974462195,1.77717598697819,1.027511631814,1.72959208631119,0.0837031809465428,0.14434658144967
"P94421",2.1345118282353,4.34291659892853,2.52299511905768,1.72133372994815,0.0851902821478174,0.146687826251485
"P71012",6.1453901509635,-2.09899270504417,1.2215816392369,-1.71825822984322,0.0857495246064226,0.147426724399206
"O34483",5.55621120480302,-1.91562005980561,1.11609415622401,-1.71636062165809,0.0860960591928299,0.147798234947691
"O32164",126.276818020214,0.923959468237243,0.545318227110098,1.69434913836228,0.0901989582895404,0.154406911577844
"P28367",20.6233282744127,-1.06361768417118,0.628047714988603,-1.69353005956002,0.0903546181607331,0.154406911577844
"P71086",14.739787035822,1.63099833017563,0.963012859290416,1.69364127845334,0.0903334691588819,0.154406911577844
"P46907",2.08777143082703,4.30726014170542,2.54898010438342,1.6897974740165,0.0910667072478051,0.155389426674342
"P50727",16.9765845804777,-1.69890447582413,1.01068869183692,-1.68093745338774,0.0927750641219168,0.158066387443807
"P55873",10.0004475683997,6.56890020324622,3.91063738819085,1.6797518028858,0.0930056161532075,0.158221265918294
"P21464",81.4249369455734,0.888696082558109,0.529607658797349,1.67802724865458,0.0933417796812748,0.158555077029812
"O31590",15.2208067269683,1.3081048648127,0.780189463170172,1.6766502581276,0.0936108927881962,0.158774163965608
"P24010",3.48076879832142,-3.45057034192757,2.06605729757568,-1.67012325649268,0.0948949797024938,0.160711527657587
"P39217",1.6165957051986,3.93887217396048,2.36519865531504,1.66534517728948,0.0958439101799143,0.162076343632601
"P80868",1091.37216062977,0.670130871654479,0.403402305554294,1.66119742606252,0.0966738023654894,0.163236092518777
"P35156",1.60338633246628,3.92808961696339,2.36909214448826,1.65805691690894,0.0973059787285677,0.164059038540874
"O06714",7.26655731346147,1.69463396824457,1.02316222053802,1.65627105284777,0.0976669398616642,0.164267599221736
"O31607",3.36077401590537,2.99643593992098,1.80943028321674,1.65601071658534,0.0977196486102825,0.164267599221736
"O32037",4.07515288226564,3.27367309010709,1.97919419779565,1.65404339490949,0.0981186959243475,0.164694048121905
"P39143",1.62320039156476,3.94428355031303,2.38793453217152,1.65175531287544,0.0985844417719996,0.165231024449224
"P12042",4.56978760925275,2.31832222236948,1.40715982445829,1.6475187694205,0.099451461511159,0.166437970298587
"O34445",4.39984341010831,2.73656306107027,1.66682767554431,1.64177923202327,0.100635764532526,0.168171565214383
"O31974",1.59678164610012,3.92266337543647,2.39619477598788,1.63703861419999,0.101622401509939,0.169373101827765
"O34863",14.7881528321049,-1.61183967369408,0.984697263499705,-1.63688854782175,0.101653759261148,0.169373101827765
"P14204",1.57965952172958,3.90838231795851,2.39007428530847,1.63525558263311,0.10199548063465,0.169692921525784
"O31534",3.49003047256228,-2.80044716108141,1.72278654804295,-1.625533450016,0.104048942405821,0.172855501093541
"O05268",10.3423968460467,-1.35457738117185,0.84340860474747,-1.60607488890564,0.10825745648818,0.17958374553603
"O34516",1.34198937632562,-4.06209747565198,2.54020380368688,-1.59912266478627,0.109793349550722,0.181071128152792
"O34705",1.34198937632562,-4.06209747565198,2.54020380368688,-1.59912266478627,0.109793349550722,0.181071128152792
"P42305",1.34198937632562,-4.06209747565198,2.54020380368688,-1.59912266478627,0.109793349550722,0.181071128152792
"P94464",3.15907247030122,2.83615476577315,1.77203566876891,1.60050659010917,0.109486246141728,0.181071128152792
"P25144",88.4419669055014,-0.695517099095145,0.435440911519866,-1.59727090563794,0.110205333233862,0.181486399060997
"O31740",1.3367933429877,-4.05713505912382,2.54259451235387,-1.59566735451176,0.110563080892734,0.181811278158878
"O34942",1.3301780385115,-4.05075044916,2.54565802606399,-1.59123904612716,0.111555788622064,0.183177838418549
"P54495",5.67551945122957,-1.74630730366289,1.10074720926373,-1.58647443206417,0.112631727613106,0.184533681877934
"P54554",1.9216614208264,4.18838216583189,2.64061088624474,1.58614136889675,0.112707244359691,0.184533681877934
"O06743",1.85904205080155,4.14322683651622,2.63328417345421,1.57340665253054,0.11562468759281,0.189037187651736
"P37474",5.29921212095866,1.86168701012352,1.18420683563153,1.57209615255319,0.115928253660015,0.189260391061667
"P31103",17.2335970417792,-1.28419446277718,0.817868378671634,-1.57017253175009,0.116374978054467,0.18971633113052
"Q06795",13.792340890315,1.62082104310502,1.03591186258819,1.56463218700426,0.117669177298757,0.191550542930305
"O34442",3.01483703032664,2.81491484754821,1.80792684874488,1.5569849241978,0.119474064782285,0.194209634717832
"O31675",3.33925268140327,-2.67737641333917,1.72344819260987,-1.5534997946673,0.1203037782799,0.195278195975826
"P28264",30.198254441021,0.864895652909692,0.557039390955741,1.5526651560956,0.120503150769789,0.195321988300673
"O07008",1.55179200222513,-4.27059892073204,2.77648644390394,-1.53813065794309,0.124016671275343,0.200157960904507
"O07542",3.84742321793673,2.55314286838706,1.6587231945275,1.53922178022858,0.123750162138702,0.200157960904507
"P96589",1.55179200222513,-4.27059892073204,2.77648644390394,-1.53813065794309,0.124016671275343,0.200157960904507
"O31743",5.9473054388138,2.76231957589452,1.80149886390878,1.53334516675798,0.125190831449409,0.201765593217896
"O34798",1.43996825719359,3.77442978802712,2.46797057337235,1.52936579907011,0.126173786055928,0.203060936933759
"O31671",1.52533078432032,-4.24765280332427,2.78911144564543,-1.52294122558495,0.127773410543699,0.205343651270937
"O31978",1.54895345994858,-4.2681496890992,2.80622559494908,-1.52095743720014,0.128270518690097,0.205850563280283
"P54522",1.77414465301396,4.07292999975106,2.68242575888939,1.51837566659715,0.128919722379935,0.20659978140943
"P94358",1.54139993554928,-4.26169647033126,2.8098052914356,-1.51672305669047,0.129336620485997,0.206975128546094
