"","Jurkat_sonic_1","Jurkat_sonic_2","Jurkat_sonic_3","Jurkat_triflic_1","Jurkat_triflic_2","Jurkat_triflic_3"
"A0A087WW46",2.48990526154538,0,2.75469182679421,4.02170284472771,4.29107361073567,5.82513724950443
"A0A087WW61",0,0,3.44336478349276,0,0,0
"A0A087WW66",3.73485789231807,0,2.75469182679421,5.36227045963695,0,0
"A0A087WW75",5.60228683847711,0,0,0,0,0
"A0A087WWE2",4.35733420770442,0,0,9.38397330436467,4.29107361073567,2.33005489980177
"A0A087WWH0",0,44.7251637001299,4.82071069688987,6.70283807454619,2.86071574049045,0
"A0A087WWI4",18.051813146204,15.2255876425974,19.2828427875595,8.04340568945543,10.0125050917166,9.32021959920709
"A0A087WWI6",0,15.2255876425974,6.19805661028697,0,0,0
"A0A087WWJ2",3.11238157693173,0,0,0,0,0
"A0A087WWQ2",2.48990526154538,0,0,2.68113522981848,0,0
"A0A087WWS1",0,0,2.06601887009566,0,0,0
"A0A087WWS7",3.73485789231807,2.85479768298702,1.37734591339711,0,0,0
"A0A087WWS8",0,1.90319845532468,1.37734591339711,0,0,0
"A0A087WWT3",3.73485789231807,9.51599227662339,4.13203774019132,17.4273789938201,10.0125050917166,8.15519214930621
"A0A087WWU8",4.35733420770442,1.90319845532468,2.75469182679421,0,0,0
"A0A087WWW8",1.86742894615904,0,0,0,0,0
"A0A087WWY3",62.2476315386345,13.3223891872727,91.5935032409075,30.8330551429125,22.8857259239236,29.1256862475222
"A0A087WX29",1.86742894615904,0,1.37734591339711,4.02170284472771,5.7214314809809,0
"A0A087WX41",3.11238157693173,1.90319845532468,3.44336478349276,0,0,2.33005489980177
"A0A087WX59",0,0,2.06601887009566,0,0,0
"A0A087WX67",0,0,3.44336478349276,0,0,0
"A0A087WX69",0,0,0,5.36227045963695,0,0
"A0A087WXC5",1.24495263077269,0,0,2.68113522981848,0,0
"A0A087WXF0",2.48990526154538,0,1.37734591339711,0,0,0
"A0A087WXI1",1.86742894615904,0,4.82071069688987,0,0,0
