,BS_sonic_1,BS_sonic_2,BS_sonic_3,BS_triflic_1,BS_triflic_2,BS_triflic_3,Jurkat_sonic_1,Jurkat_sonic_2,Jurkat_sonic_3,Jurkat_triflic_1,Jurkat_triflic_2,Jurkat_triflic_3,PA_pellet_1,PA_pellet_2,PA_pellet_3,PA_sonic_1,PA_sonic_2,PA_sonic_3,PA_triflic_1,PA_triflic_2,PA_triflic_3
A0A0D9SF53,,,,,,,11.0,5.0,6.0,15.0,4.0,9.0,,,,,,,,,
A0A0D9SF58,,,,,,,5.0,,,2.0,,,,,,,,,,,
A0A0D9SFE5,,,,,,,,,10.0,,,,,,,,,,,,
A0A0D9SFM0,,,,,,,,2.0,,,,,,,,,,,,,
A0A0D9SFY5,,,,,,,2.0,,2.0,,2.0,6.0,,,,,,,,,
A0A0D9SG66,,,,,,,,,,7.0,4.0,,,,,,,,,,
A0A0D9SGF6,,,,,,,23.0,15.0,17.0,13.0,8.0,12.0,,,,,,,,,
A0A0G2JI89,,,,,,,,,2.0,,,,,,,,,,,,
A0A0G2JIW1,,,,,,,3.0,,,,,8.0,,,,,,,,,
A0A0G2JJD3,,,,,,,,,3.0,,,,,,,,,,,,
A0A0G2JJI5,,,,,,,,,2.0,,,,,,,,,,,,
A0A0G2JJM1,,,,,,,5.0,,14.0,,,,,,,,,,,,
A0A0G2JJT9,,,,,,,,,,,3.0,,,,,,,,,,
A0A0G2JJZ9,,,,,,,31.0,,16.0,,3.0,19.0,,,,,,,,,
A0A0G2JK23,,,,,,,,,,,,10.0,,,,,,,,,
A0A0G2JK44,,,,,,,3.0,,,,,,,,,,,,,,
A0A0G2JL47,,,,,,,,,,,,9.0,,,,,,,,,
A0A0G2JL52,,,,,,,,,,2.0,,,,,,,,,,,
A0A0G2JL56,,,,,,,,,29.0,,,,,,,,,,,,
A0A0G2JM12,,,,,,,7.0,,15.0,4.0,2.0,,,,,,,,,,
A0A0G2JP75,,,,,,,,,2.0,,,,,,,,,,,,
A0A0G2JPD3,,,,,,,,,19.0,,,,,,,,,,,,
A0A0G2JPP5,,,,,,,3.0,,2.0,3.0,,2.0,,,,,,,,,
A0A0G2JQM1,,,,,,,5.0,,,,,,,,,,,,,,
A0A0G2JRY6,,,,,,,,,2.0,,,,,,,,,,,,
A0A0J9YVP6,,,,,,,3.0,,,,,,,,,,,,,,
A0A0J9YVQ7,,,,,,,5.0,,,4.0,2.0,3.0,,,,,,,,,
A0A0J9YWE8,,,,,,,,,,,,2.0,,,,,,,,,
A0A0J9YWL0,,,,,,,,,2.0,,,,,,,,,,,,
A0A0J9YX57,,,,,,,3.0,,,,,,,,,,,,,,
A0A0J9YX90,,,,,,,4.0,14.0,6.0,,3.0,,,,,,,,,,
A0A0J9YXB8,,,,,,,,,,,,2.0,,,,,,,,,
A0A0J9YXJ0,,,,,,,11.0,,8.0,,,,,,,,,,,,
A0A0J9YXZ5,,,,,,,,,28.0,,,,,,,,,,,,
A0A0J9YYD9,,,,,,,3.0,,4.0,,,,,,,,,,,,
A0A0J9YYH3,,,,,,,40.0,19.0,38.0,6.0,7.0,,,,,,,,,,
A0AVT1,,,,,,,5.0,,9.0,,,,,,,,,,,,
A0FGR8,,,,,,,15.0,,2.0,,,,,,,,,,,,
A1L0T0,,,,,,,2.0,,,,,,,,,,,,,,
A2A274,,,,,,,6.0,7.0,10.0,2.0,,,,,,,,,,,
A2A2D0,,,,,,,6.0,,12.0,2.0,6.0,,,,,,,,,,
A2A3R5,,,,,,,,3.0,,,,3.0,,,,,,,,,
A2A3R7,,,,,,,,,,,,2.0,,,,,,,,,
A2AB27,,,,,,,2.0,,,,,,,,,,,,,,
A2ABF9,,,,,,,,,2.0,,,,,,,,,,,,
A2RRP1,,,,,,,,,2.0,,,,,,,,,,,,
A3KMH1,,,,,,,,3.0,,,,,,,,,,,,,
A4D1E1,,,,,,,3.0,,,,,,,,,,,,,,
A4D1P6,,,,,,,2.0,,,,,,,,,,,,,,
A4QPE4,,,,,,,7.0,,,,,,,,,,,,,,
A5A3E0,,,,,,,56.0,17.0,202.0,25.0,93.0,111.0,,,,,,,,,
A5YKK6,,,,,,,,6.0,6.0,,2.0,2.0,,,,,,,,,
A6NCQ0,,,,,,,9.0,5.0,3.0,,,,,,,,,,,,
A6NDU8,,,,,,,4.0,,,,,,,,,,,,,,
A6NE09,,,,,,,11.0,3.0,7.0,4.0,3.0,6.0,,,,,,,,,
A6NEM2,,,,,,,6.0,,7.0,3.0,2.0,3.0,,,,,,,,,
A6NFX8,,,,,,,15.0,8.0,12.0,,2.0,2.0,,,,,,,,,
A6NH36,,,,,,,,,10.0,,,5.0,,,,,,,,,
A6NHB5,,,,,,,2.0,,3.0,,,,,,,,,,,,
A6NHK2,,,,,,,,,7.0,,,,,,,,,,,,
A6NHL2,,,,,,,5.0,,3.0,3.0,,4.0,,,,,,,,,
A6NHQ2,,,,,,,,,,6.0,3.0,9.0,,,,,,,,,
A6NHR9,,,,,,,2.0,,,,,,,,,,,,,,
A6NIW5,,,,,,,44.0,2.0,,,,,,,,,,,,,
A6NJU6,,,,,,,14.0,,4.0,,,,,,,,,,,,
A6NL76,,,,,,,273.0,31.0,322.0,,,169.0,,,,,,,,,
A6NLN1,,,,,,,59.0,,20.0,29.0,,88.0,,,,,,,,,
A6NNZ2,,,,,,,21.0,,41.0,,38.0,55.0,,,,,,,,,
A6PW80,,,,,,,,96.0,,,,204.0,,,,,,,,,
A6QRI9,,,,,,,2.0,,,,,,,,,,,,,,
A8K070,,,,,,,2.0,,4.0,,,,,,,,,,,,
A8K7Q2,,,,,,,173.0,31.0,100.0,35.0,168.0,34.0,,,,,,,,,
A8K878,,,,,,,,,3.0,,,,,,,,,,,,
A8MT02,,,,,,,5.0,4.0,4.0,4.0,3.0,7.0,,,,,,,,,
A8MU27,,,,,,,,,2.0,,,,,,,,,,,,
A8MU58,,,,,,,6.0,,,9.0,,,,,,,,,,,
A8MUS3,,,,,,,5.0,23.0,22.0,4.0,2.0,3.0,,,,,,,,,
A8MVZ9,,,,,,,3.0,,17.0,,,3.0,,,,,,,,,
A8MW50,,,,,,,26.0,20.0,21.0,17.0,18.0,14.0,,,,,,,,,
A8MWD9,,,,,,,4.0,,,,,,,,,,,,,,
A8MX94,,,,,,,6.0,6.0,7.0,,,3.0,,,,,,,,,
A8MXP9,,,,,,,35.0,12.0,10.0,33.0,34.0,23.0,,,,,,,,,
A8MYZ9,,,,,,,6.0,,,,,,,,,,,,,,
A9Z1X7,,,,,,,6.0,2.0,16.0,5.0,,5.0,,,,,,,,,
B0AZS6,,,,,,,,,,,,8.0,,,,,,,,,
B0I1T2,,,,,,,15.0,5.0,13.0,2.0,,3.0,,,,,,,,,
B0QY89,,,,,,,,3.0,3.0,,3.0,3.0,,,,,,,,,
B0QYN7,,,,,,,7.0,,5.0,3.0,3.0,6.0,,,,,,,,,
B0QZ18,,,,,,,,,,2.0,4.0,2.0,,,,,,,,,
B0QZK4,,,,,,,9.0,,5.0,2.0,,,,,,,,,,,
B0YIW6,,,,,,,6.0,2.0,4.0,,,,,,,,,,,,
B0YJC5,,,,,,,12.0,,,,,,,,,,,,,,
B1AH99,,,,,,,,7.0,,,,,,,,,,,,,
B1AHA9,,,,,,,,,,11.0,5.0,9.0,,,,,,,,,
B1AHB1,,,,,,,4.0,,2.0,,,,,,,,,,,,
B1AHB2,,,,,,,,,,,9.0,,,,,,,,,,
B1AHD1,,,,,,,16.0,,4.0,,,,,,,,,,,,
B1AK88,,,,,,,9.0,,13.0,8.0,4.0,,,,,,,,,,
B1AKJ5,,,,,,,,,,3.0,,,,,,,,,,,
B1ANG9,,,,,,,5.0,,,,,,,,,,,,,,
B1ANH2,,,,,,,6.0,,,,3.0,,,,,,,,,,
B1ANH3,,,,,,,4.0,4.0,6.0,,,3.0,,,,,,,,,
B1ANH5,,,,,,,5.0,,,,,,,,,,,,,,
B1ANH6,,,,,,,2.0,,,,2.0,,,,,,,,,,
B1APP6,,,,,,,,8.0,3.0,2.0,,,,,,,,,,,
B1APP8,,,,,,,4.0,,9.0,7.0,,,,,,,,,,,
B1PS43,,,,,,,5.0,5.0,7.0,4.0,2.0,4.0,,,,,,,,,
B2R4S9,,,,,,,,,,,127.0,,,,,,,,,,
B2RPK0,,,,,,,27.0,,17.0,10.0,4.0,4.0,,,,,,,,,
B2RXH8,,,,,,,,2.0,,,,2.0,,,,,,,,,
B3KM87,,,,,,,24.0,11.0,7.0,19.0,21.0,13.0,,,,,,,,,
B3KQV6,,,,,,,18.0,7.0,5.0,4.0,2.0,10.0,,,,,,,,,
B3KS98,,,,,,,9.0,3.0,5.0,2.0,,,,,,,,,,,
B3KSI3,,,,,,,6.0,,,,,,,,,,,,,,
B3KXD6,,,,,,,,,,2.0,,4.0,,,,,,,,,
B4DDC6,,,,,,,,,4.0,,,3.0,,,,,,,,,
B4DEV8,,,,,,,25.0,4.0,2.0,,10.0,,,,,,,,,,
B4DGZ4,,,,,,,,,5.0,,,,,,,,,,,,
B4DJ07,,,,,,,5.0,,,,,,,,,,,,,,
B4DJC3,,,,,,,9.0,2.0,3.0,2.0,,9.0,,,,,,,,,
B4DLN1,,,,,,,8.0,14.0,31.0,,,2.0,,,,,,,,,
B4DNK4,,,,,,,317.0,951.0,682.0,49.0,31.0,30.0,,,,,,,,,
B4DR61,,,,,,,5.0,9.0,8.0,4.0,,2.0,,,,,,,,,
B4DT28,,,,,,,,,4.0,,,4.0,,,,,,,,,
B4DTS2,,,,,,,,,,2.0,,,,,,,,,,,
B4DUT8,,,,,,,8.0,3.0,3.0,,,,,,,,,,,,
B4DV51,,,,,,,20.0,3.0,20.0,14.0,6.0,3.0,,,,,,,,,
B4DY09,,,,,,,,,,,,20.0,,,,,,,,,
B4DZS0,,,,,,,2.0,,,,,,,,,,,,,,
B4E0P5,,,,,,,7.0,4.0,5.0,3.0,8.0,6.0,,,,,,,,,
B4E2I7,,,,,,,4.0,,50.0,,6.0,2.0,,,,,,,,,
B5MBX0,,,,,,,,,,2.0,,,,,,,,,,,
B5MC51,,,,,,,2.0,,,,,,,,,,,,,,
B5MC59,,,,,,,,,2.0,,,,,,,,,,,,
B5MC82,,,,,,,,,,6.0,5.0,,,,,,,,,,
B5MCF9,,,,,,,,,,2.0,,,,,,,,,,,
B5MCT7,,,,,,,2.0,,,,,,,,,,,,,,
B5MCW2,,,,,,,,,7.0,12.0,5.0,9.0,,,,,,,,,
B5MCX3,,,,,,,3.0,,,3.0,,,,,,,,,,,
