,BS_sonic_1,BS_sonic_2,BS_sonic_3,BS_triflic_1,BS_triflic_2,BS_triflic_3,Jurkat_sonic_1,Jurkat_sonic_2,Jurkat_sonic_3,Jurkat_triflic_1,Jurkat_triflic_2,Jurkat_triflic_3,PA_pellet_1,PA_pellet_2,PA_pellet_3,PA_sonic_1,PA_sonic_2,PA_sonic_3,PA_triflic_1,PA_triflic_2,PA_triflic_3
Q07836,8.0,6.0,6.0,25.0,34.0,63.0,,,,,,,,,,,,,,,
Q07864,,,,,,,2.0,,,,,,,,,,,,,,
Q07868,,,,,,5.0,,,,,,,,,,,,,,,
Q07876,16.0,8.0,13.0,8.0,7.0,14.0,,,,,,,,,,,,,,,
Q07955,,,,,,,,,,6.0,,,,,,,,,,,
Q07960,,,,,,,7.0,,4.0,,,,,,,,,,,,
Q08211,,,,,,,22.0,8.0,28.0,32.0,23.0,18.0,,,,,,,,,
Q08257,,,,,,,7.0,,,2.0,,4.0,,,,,,,,,
Q08352,447.0,375.0,382.0,62.0,146.0,128.0,,,,,,,,,,,,,,,
Q08378,,,,,,,,,5.0,,,2.0,,,,,,,,,
Q08380,,,,,,,,,,3.0,2.0,,,,,,,,,,
Q08429,,,,5.0,5.0,3.0,,,,,,,,,,,,,,,
Q08432,2.0,2.0,,9.0,13.0,23.0,,,,,,,,,,,,,,,
Q08752,,,,,,,,,2.0,,,,,,,,,,,,
Q08787,10.0,17.0,8.0,77.0,100.0,107.0,,,,,,,,,,,,,,,
Q08788,39.0,42.0,54.0,29.0,33.0,33.0,,,,,,,,,,,,,,,
Q08945,,,,,,,,6.0,21.0,5.0,2.0,11.0,,,,,,,,,
Q08J23,,,,,,,12.0,12.0,,8.0,,,,,,,,,,,
Q09028,,,,,,,86.0,16.0,24.0,7.0,12.0,25.0,,,,,,,,,
Q09160,,,,,,,,,11.0,,,,,,,,,,,,
Q09161,,,,,,,,,4.0,,,2.0,,,,,,,,,
Q09666,,,,,,,2.0,,,,,,,,,,,,,,
Q10472,,,,,,,,3.0,3.0,,,,,,,,,,,,
Q10567,,,,,,,,,,,,2.0,,,,,,,,,
Q10713,,,,,,,7.0,4.0,6.0,,,,,,,,,,,,
Q12769,,,,,,,5.0,,15.0,2.0,2.0,,,,,,,,,,
Q12788,,,,,,,5.0,,,,,,,,,,,,,,
Q12824,,,,,,,4.0,,,,,,,,,,,,,,
Q12840,,,,,,,5.0,,,,,,,,,,,,,,
Q12849,,,,,,,4.0,,,,2.0,9.0,,,,,,,,,
Q12873,,,,,,,4.0,,9.0,3.0,,2.0,,,,,,,,,
Q12874,,,,,,,15.0,,8.0,11.0,3.0,,,,,,,,,,
Q12899,,,,,,,,,,2.0,,,,,,,,,,,
Q12905,,,,,,,7.0,16.0,7.0,8.0,4.0,23.0,,,,,,,,,
Q12906,,,,,,,20.0,5.0,11.0,20.0,8.0,17.0,,,,,,,,,
Q12907,,,,,,,,,,3.0,,,,,,,,,,,
Q12931,,,,,,,8.0,,5.0,9.0,6.0,,,,,,,,,,
Q12955,,,,,,,,,,,2.0,,,,,,,,,,
Q12972,,,,,,,6.0,,,,,,,,,,,,,,
Q12974,,,,,,,5.0,,,,,,,,,,,,,,
Q12996,,,,,,,2.0,,,,,3.0,,,,,,,,,
Q13011,,,,,,,13.0,20.0,23.0,,,,,,,,,,,,
Q13033,,,,,,,2.0,,,2.0,,3.0,,,,,,,,,
Q13045,,,,,,,4.0,2.0,3.0,3.0,3.0,3.0,,,,,,,,,
Q13057,,,,,,,,2.0,,,,,,,,,,,,,
Q13085,,,,,,,,,,2.0,,,,,,,,,,,
Q13094,,,,,,,4.0,4.0,3.0,,,,,,,,,,,,
Q13123,,,,,,,3.0,,,,,,,,,,,,,,
Q13131,,,,,,,3.0,4.0,8.0,,,,,,,,,,,,
Q13148,,,,,,,4.0,,7.0,3.0,4.0,,,,,,,,,,
Q13151,,,,,,,3.0,5.0,,,3.0,4.0,,,,,,,,,
Q13155,,,,,,,8.0,,,12.0,4.0,3.0,,,,,,,,,
Q13162,,,,,,,9.0,,,2.0,,3.0,,,,,,,,,
Q13177,,,,,,,11.0,4.0,2.0,,,5.0,,,,,,,,,
Q13185,,,,,,,11.0,3.0,26.0,,,2.0,,,,,,,,,
Q13200,,,,,,,26.0,8.0,19.0,13.0,23.0,13.0,,,,,,,,,
Q13206,,,,,,,,,,,,8.0,,,,,,,,,
Q13237,,,,,,,,,2.0,,,,,,,,,,,,
Q13242,,,,,,,,,,7.0,4.0,,,,,,,,,,
Q13243,,,,,,,2.0,,,3.0,,,,,,,,,,,
Q13263,,,,,,,24.0,4.0,20.0,9.0,,12.0,,,,,,,,,
Q13283,,,,,,,10.0,16.0,12.0,7.0,15.0,18.0,,,,,,,,,
Q13303,,,,,,,2.0,,3.0,,,,,,,,,,,,
Q13308,,,,,,,2.0,,,,,,,,,,,,,,
Q13310,,,,,,,26.0,9.0,15.0,11.0,13.0,,,,,,,,,,
Q13330,,,,,,,,,2.0,3.0,,2.0,,,,,,,,,
Q13347,,,,,,,7.0,3.0,26.0,8.0,3.0,18.0,,,,,,,,,
Q13363,,,,,,,4.0,,7.0,,,,,,,,,,,,
Q13395,,,,,,,,,,2.0,,,,,,,,,,,
Q13423,,,,,,,,2.0,2.0,,2.0,3.0,,,,,,,,,
Q13428,,,,,,,11.0,,,3.0,6.0,,,,,,,,,,
Q13435,,,,,,,19.0,5.0,10.0,8.0,25.0,10.0,,,,,,,,,
Q13451,,,,,,,5.0,3.0,2.0,,,,,,,,,,,,
Q13459,,,,,,,2.0,,,,,,,,,,,,,,
Q13505,,,,,,,4.0,,,3.0,,5.0,,,,,,,,,
Q13509,,,,,,,,60.0,,,,72.0,,,,,,,,,
Q13542,,,,,,,5.0,,,,,,,,,,,,,,
Q13547,,,,,,,8.0,4.0,8.0,9.0,3.0,,,,,,,,,,
Q13561,,,,,,,4.0,,,,,,,,,,,,,,
Q13564,,,,,,,2.0,,,,,,,,,,,,,,
Q13576,,,,,,,9.0,7.0,3.0,,,,,,,,,,,,
Q13588,,,,,,,,,2.0,,,,,,,,,,,,
Q13610,,,,,,,2.0,,,,,,,,,,,,,,
Q13616,,,,,,,5.0,2.0,,,,,,,,,,,,,
Q13619,,,,,,,11.0,2.0,,,,,,,,,,,,,
Q13620,,,,,,,8.0,,,,,,,,,,,,,,
Q13630,,,,,,,,,,2.0,,,,,,,,,,,
Q13724,,,,,,,,2.0,21.0,2.0,3.0,8.0,,,,,,,,,
Q13748,,,,,,,87.0,358.0,207.0,150.0,82.0,145.0,,,,,,,,,
Q13769,,,,,,,2.0,3.0,,,2.0,,,,,,,,,,
Q13813,,,,,,,,,18.0,,,,,,,,,,,,
Q13838,,,,,,,35.0,,19.0,5.0,4.0,24.0,,,,,,,,,
Q13867,,,,,,,,,2.0,,2.0,,,,,,,,,,
Q13868,,,,,,,,,,,,3.0,,,,,,,,,
Q13885,,,,,,,198.0,70.0,108.0,77.0,105.0,178.0,,,,,,,,,
Q13895,,,,,,,,,,7.0,5.0,3.0,,,,,,,,,
Q13951,,,,,,,2.0,,,,,,,,,,,,,,
Q14008,,,,,,,8.0,,3.0,,,,,,,,,,,,
Q14019,,,,,,,,,31.0,,,,,,,,,,,,
Q14061,,,,,,,11.0,,,,,,,,,,,,,,
Q14103,,,,,,,8.0,13.0,13.0,4.0,2.0,7.0,,,,,,,,,
Q14137,,,,,,,6.0,,10.0,,,,,,,,,,,,
Q14139,,,,,,,3.0,,,,3.0,3.0,,,,,,,,,
Q14141,,,,,,,2.0,2.0,,5.0,,2.0,,,,,,,,,
Q14145,,,,,,,2.0,,,,,,,,,,,,,,
Q14151,,,,,,,,,,4.0,,,,,,,,,,,
Q14152,,,,,,,19.0,5.0,10.0,7.0,7.0,14.0,,,,,,,,,
Q14155,,,,,,,,,3.0,,,,,,,,,,,,
Q14157,,,,,,,,,,3.0,,2.0,,,,,,,,,
Q14161,,,,,,,,5.0,2.0,,,,,,,,,,,,
Q14165,,,,,,,4.0,,,2.0,,,,,,,,,,,
Q14166,,,,,,,9.0,5.0,16.0,6.0,6.0,5.0,,,,,,,,,
Q14195,,,,,,,,,,,,3.0,,,,,,,,,
Q14203,,,,,,,10.0,2.0,8.0,5.0,2.0,3.0,,,,,,,,,
Q14204,,,,,,,20.0,3.0,17.0,13.0,8.0,8.0,,,,,,,,,
Q14232,,,,,,,,,4.0,,,,,,,,,,,,
Q14240,,,,,,,11.0,16.0,9.0,13.0,10.0,8.0,,,,,,,,,
Q14318,,,,,,,2.0,,,,,,,,,,,,,,
Q14320,,,,,,,4.0,,,,,,,,,,,,,,
Q14344,,,,,,,2.0,,,,,,,,,,,,,,
Q14444,,,,,,,,4.0,,3.0,3.0,,,,,,,,,,
Q14498,,,,,,,5.0,2.0,,2.0,5.0,6.0,,,,,,,,,
Q14527,,,,,,,5.0,,,,,,,,,,,,,,
Q14558,,,,,,,,,,,,2.0,,,,,,,,,
Q14562,,,,,,,2.0,,,,,,,,,,,,,,
Q14566,,,,,,,13.0,21.0,16.0,19.0,13.0,23.0,,,,,,,,,
Q14568,,,,,,,,370.0,122.0,18.0,11.0,6.0,,,,,,,,,
Q14592,,,,,,,,,4.0,,,,,,,,,,,,
Q14651,,,,,,,,,,,,2.0,,,,,,,,,
Q14653,,,,,,,4.0,,,,,,,,,,,,,,
Q14657,,,,,,,10.0,,,,,,,,,,,,,,
Q14669,,,,,,,4.0,,,,,,,,,,,,,,
Q14676,,,,,,,2.0,2.0,,,,5.0,,,,,,,,,
Q14683,,,,,,,2.0,,,,,,,,,,,,,,
Q14684,,,,,,,7.0,,4.0,3.0,,5.0,,,,,,,,,
Q14690,,,,,,,,,,,,5.0,,,,,,,,,
Q14692,,,,,,,,,2.0,,,3.0,,,,,,,,,
Q14694,,,,,,,4.0,7.0,,,,,,,,,,,,,
Q14696,,,,,,,,,,2.0,,,,,,,,,,,
Q14697,,,,,,,51.0,71.0,80.0,47.0,23.0,13.0,,,,,,,,,
Q14738,,,,,,,19.0,,7.0,,2.0,3.0,,,,,,,,,
Q14739,,,,,,,4.0,,4.0,,5.0,,,,,,,,,,
Q14807,,,,,,,,,2.0,,,,,,,,,,,,
Q14847,,,,,,,,,7.0,,,,,,,,,,,,
Q14966,,,,,,,,,,,2.0,,,,,,,,,,
Q14974,,,,,,,50.0,12.0,25.0,26.0,24.0,10.0,,,,,,,,,
Q14980,,,,,,,6.0,4.0,,3.0,,,,,,,,,,,
Q14997,,,,,,,3.0,,,,,,,,,,,,,,
Q14C86,,,,,,,,,,2.0,,,,,,,,,,,
Q14CB8,,,,,,,3.0,,,,,,,,,,,,,,
Q14CX7,,,,,,,,,,2.0,,,,,,,,,,,
Q14T72,,,,,,,,,,,,,4.0,5.0,8.0,,,,,,2.0
Q14T74,,,,,,,,,,,,,6.0,2.0,5.0,2.0,,,,4.0,4.0
Q15006,,,,,,,,,2.0,,,,,,,,,,,,
Q15008,,,,,,,,,,6.0,4.0,8.0,,,,,,,,,
Q15019,,,,,,,5.0,2.0,2.0,8.0,2.0,,,,,,,,,,
Q15020,,,,,,,7.0,,,,,,,,,,,,,,
Q15021,,,,,,,,,,5.0,7.0,4.0,,,,,,,,,
Q15022,,,,,,,3.0,,,,2.0,,,,,,,,,,
Q15024,,,,,,,,,,,,3.0,,,,,,,,,
Q15027,,,,,,,3.0,2.0,6.0,,,,,,,,,,,,
Q15029,,,,,,,7.0,27.0,23.0,3.0,6.0,7.0,,,,,,,,,
Q15031,,,,,,,,,2.0,,,,,,,,,,,,
Q15042,,,,,,,,5.0,,,,,,,,,,,,,
Q15046,,,,,,,19.0,6.0,18.0,4.0,4.0,,,,,,,,,,
Q15052,,,,,,,2.0,,,,,,,,,,,,,,
Q15054,,,,,,,2.0,,,,,,,,,,,,,,
Q15056,,,,,,,6.0,,2.0,3.0,7.0,,,,,,,,,,
Q15061,,,,,,,,,6.0,,7.0,6.0,,,,,,,,,
Q15067,,,,,,,,2.0,3.0,,,,,,,,,,,,
Q15084,,,,,,,6.0,6.0,6.0,,2.0,5.0,,,,,,,,,
Q15102,,,,,,,30.0,28.0,26.0,21.0,13.0,5.0,,,,,,,,,
Q15125,,,,,,,2.0,,,4.0,,,,,,,,,,,
Q15149,,,,,,,3.0,,,,,,,,,,,,,,
Q15181,,,,,,,21.0,34.0,23.0,7.0,5.0,13.0,,,,,,,,,
Q15233,,,,,,,66.0,30.0,81.0,49.0,46.0,26.0,,,,,,,,,
Q15257,,,,,,,14.0,,14.0,,3.0,,,,,,,,,,
Q15269,,,,,,,,,2.0,,,,,,,,,,,,
Q15286,,,,,,,,,3.0,,,,,,,,,,,,
Q15287,,,,,,,,10.0,12.0,,,,,,,,,,,,
Q15345,,,,,,,,,2.0,,,,,,,,,,,,
Q15363,,,,,,,,5.0,,,,,,,,,,,,,
Q15365,,,,,,,72.0,22.0,13.0,11.0,6.0,8.0,,,,,,,,,
Q15366,,,,,,,34.0,46.0,30.0,4.0,6.0,10.0,,,,,,,,,
Q15388,,,,,,,,17.0,8.0,,,,,,,,,,,,
Q15392,,,,,,,,,,,3.0,4.0,,,,,,,,,
Q15393,,,,,,,19.0,14.0,11.0,2.0,7.0,5.0,,,,,,,,,
Q15397,,,,,,,4.0,,,,,,,,,,,,,,
Q15404,,,,,,,6.0,,,,,,,,,,,,,,
Q15418,,,,,,,4.0,,2.0,,,,,,,,,,,,
Q15424,,,,,,,3.0,,,13.0,2.0,,,,,,,,,,
Q15427,,,,,,,12.0,,6.0,3.0,9.0,4.0,,,,,,,,,
Q15428,,,,,,,,17.0,29.0,,,,,,,,,,,,
Q15435,,,,,,,,2.0,,,,,,,,,,,,,
Q15436,,,,,,,3.0,,,,3.0,,,,,,,,,,
Q15437,,,,,,,3.0,,,6.0,2.0,,,,,,,,,,
Q15459,,,,,,,22.0,4.0,3.0,2.0,3.0,3.0,,,,,,,,,
Q15555,,,,,,,3.0,,,,,,,,,,,,,,
Q15572,,,,,,,,2.0,,,,,,,,,,,,,
Q15631,,,,,,,4.0,10.0,3.0,9.0,6.0,4.0,,,,,,,,,
Q15637,,,,,,,7.0,5.0,8.0,12.0,5.0,8.0,,,,,,,,,
Q15645,,,,,,,2.0,,4.0,,,,,,,,,,,,
Q15691,,,,,,,17.0,,14.0,,,7.0,,,,,,,,,
Q15717,,,,,,,7.0,,6.0,6.0,6.0,18.0,,,,,,,,,
Q15738,,,,,,,2.0,,,,,,,,,,,,,,
Q15751,,,,,,,,2.0,,,,,,,,,,,,,
Q15797,,,,,,,3.0,,,,,,,,,,,,,,
Q15813,,,,,,,,,2.0,,,,,,,,,,,,
Q15833,,,,,,,6.0,3.0,2.0,,,,,,,,,,,,
Q15843,,,,,,,,,,,2.0,,,,,,,,,,
Q15907,,,,,,,,2.0,2.0,,,,,,,,,,,,
Q15910,,,,,,,,,,,,6.0,,,,,,,,,
Q15942,,,,,,,13.0,,3.0,,,,,,,,,,,,
Q16181,,,,,,,2.0,,7.0,3.0,2.0,,,,,,,,,,
Q16186,,,,,,,5.0,,3.0,,,,,,,,,,,,
Q16401,,,,,,,,,,5.0,6.0,2.0,,,,,,,,,
Q16512,,,,,,,3.0,3.0,3.0,,,,,,,,,,,,
Q16531,,,,,,,,8.0,5.0,4.0,2.0,6.0,,,,,,,,,
Q16539,,,,,,,2.0,,2.0,3.0,,,,,,,,,,,
Q16543,,,,,,,,,,,,3.0,,,,,,,,,
Q16555,,,,,,,17.0,6.0,4.0,5.0,6.0,6.0,,,,,,,,,
Q16566,,,,,,,,,,,,2.0,,,,,,,,,
Q16576,,,,,,,52.0,15.0,12.0,5.0,9.0,2.0,,,,,,,,,
Q16629,,,,,,,10.0,,13.0,9.0,11.0,6.0,,,,,,,,,
Q16630,,,,,,,7.0,14.0,3.0,2.0,,,,,,,,,,,
Q16637,,,,,,,4.0,,3.0,,,,,,,,,,,,
Q16643,,,,,,,12.0,5.0,18.0,,,,,,,,,,,,
Q16658,,,,,,,,,4.0,,,,,,,,,,,,
Q16666,,,,,,,3.0,2.0,,4.0,2.0,,,,,,,,,,
Q16695,,,,,,,,12.0,92.0,,,31.0,,,,,,,,,
Q16698,,,,,,,,,,2.0,2.0,,,,,,,,,,
Q16718,,,,,,,,5.0,,,2.0,,,,,,,,,,
Q16740,,,,,,,,,2.0,9.0,2.0,4.0,,,,,,,,,
Q16763,,,,,,,,,,2.0,,,,,,,,,,,
Q16775,,,,,,,,,2.0,,,,,,,,,,,,
Q16777,,,,,,,158.0,,175.0,101.0,86.0,157.0,,,,,,,,,
Q16778,,,,,,,,,,,125.0,,,,,,,,,,
Q16795,,,,,,,7.0,,3.0,,,4.0,,,,,,,,,
Q16822,,,,,,,,,5.0,,,,,,,,,,,,
Q16854,,,,,,,,,8.0,,,,,,,,,,,,
Q16864,,,,,,,2.0,2.0,,,,,,,,,,,,,
Q16881,,,,,,,17.0,4.0,13.0,22.0,20.0,7.0,,,,,,,,,
Q16891,,,,,,,14.0,5.0,4.0,5.0,3.0,,,,,,,,,,
Q17RN3,,,,,,,2.0,,,,,,,,,,,,,,
Q1JUQ5,,,,,,,5.0,,24.0,,,,,,,,,,,,
Q1KMD3,,,,,,,,,7.0,2.0,2.0,,,,,,,,,,
Q29RF7,,,,,,,17.0,,,,5.0,,,,,,,,,,
Q2NL82,,,,,,,,,10.0,,,,,,,,,,,,
Q2PZI1,,,,,,,,,2.0,,,,,,,,,,,,
Q2TAY7,,,,,,,3.0,11.0,6.0,,2.0,4.0,,,,,,,,,
Q2VIR3,,,,,,,4.0,,,,2.0,,,,,,,,,,
Q32MZ4,,,,,,,2.0,,,,,,,,,,,,,,
Q32P41,,,,,,,,3.0,,,,,,,,,,,,,
Q32P51,,,,,,,127.0,155.0,138.0,15.0,28.0,52.0,,,,,,,,,
Q32Q12,,,,,,,33.0,49.0,28.0,35.0,19.0,47.0,,,,,,,,,
Q3ZCM7,,,,,,,,,,17.0,,,,,,,,,,,
Q3ZCQ8,,,,,,,2.0,,,,,,,,,,,,,,
Q45065,33.0,28.0,31.0,13.0,5.0,5.0,,,,,,,,,,,,,,,
Q45066,2.0,2.0,,5.0,5.0,8.0,,,,,,,,,,,,,,,
Q45068,,,,,,3.0,,,,,,,,,,,,,,,
Q45477,115.0,101.0,141.0,31.0,57.0,46.0,,,,,,,,,,,,,,,
Q45480,2.0,4.0,3.0,12.0,13.0,21.0,,,,,,,,,,,,,,,
Q45493,35.0,26.0,36.0,57.0,72.0,108.0,,,,,,,,,,,,,,,
Q45494,2.0,3.0,4.0,12.0,14.0,11.0,,,,,,,,,,,,,,,
Q45497,7.0,4.0,6.0,,,,,,,,,,,,,,,,,,
Q45498,,,,2.0,,,,,,,,,,,,,,,,,
Q45499,9.0,5.0,8.0,8.0,9.0,12.0,,,,,,,,,,,,,,,
Q45577,,,,,,6.0,,,,,,,,,,,,,,,
Q45582,,,,,2.0,2.0,,,,,,,,,,,,,,,
Q45585,,3.0,,,,,,,,,,,,,,,,,,,
Q45597,12.0,10.0,14.0,5.0,,6.0,,,,,,,,,,,,,,,
Q45598,,,,3.0,6.0,6.0,,,,,,,,,,,,,,,
Q45600,2.0,8.0,5.0,12.0,8.0,12.0,,,,,,,,,,,,,,,
Q45601,,,,,,4.0,,,,,,,,,,,,,,,
Q45604,3.0,5.0,6.0,,,,,,,,,,,,,,,,,,
Q4G0F5,,,,,,,,,,2.0,,,,,,,,,,,
Q4G176,,,,,,,,,6.0,,3.0,,,,,,,,,,
Q4KMP7,,,,,,,5.0,,3.0,,,,,,,,,,,,
Q4VXU2,,,,,,,,,,,,3.0,,,,,,,,,
Q51342,,,,,,,,,,,,,18.0,9.0,11.0,115.0,97.0,42.0,16.0,20.0,16.0
Q51344,,,,,,,,,,,,,6.0,4.0,6.0,40.0,34.0,15.0,6.0,10.0,16.0
Q51363,,,,,,,,,,,,,,,,5.0,5.0,3.0,2.0,4.0,6.0
Q51366,,,,,,,,,,,,,3.0,2.0,,2.0,3.0,4.0,2.0,,3.0
Q51368,,,,,,,,,,,,,,,,,,,7.0,,
Q51375,,,,,,,,,,,,,3.0,,,26.0,6.0,4.0,8.0,16.0,6.0
Q51385,,,,,,,,,,,,,2.0,,3.0,,3.0,,,,2.0
Q51390,,,,,,,,,,,,,2.0,,,,,3.0,,,5.0
Q51391,,,,,,,,,,,,,,,4.0,,,,,,
Q51422,,,,,,,,,,,,,18.0,14.0,38.0,75.0,80.0,47.0,64.0,60.0,48.0
Q51434,,,,,,,,,,,,,5.0,6.0,13.0,9.0,3.0,3.0,,4.0,9.0
Q51455,,,,,,,,,,,,,12.0,15.0,9.0,36.0,14.0,7.0,3.0,11.0,8.0
Q51463,,,,,,,,,,,,,9.0,12.0,4.0,,,,3.0,4.0,
Q51465,,,,,,,,,,,,,,,7.0,11.0,6.0,5.0,,,3.0
Q51466,,,,,,,,,,,,,9.0,5.0,,,,,6.0,31.0,17.0
Q51470,,,,,,,,,,,,,,4.0,2.0,15.0,44.0,,5.0,2.0,5.0
Q51472,,,,,,,,,,,,,3.0,,,7.0,4.0,3.0,12.0,16.0,9.0
Q51473,,,,,,,,,,,,,6.0,2.0,,7.0,,,,,5.0
Q51480,,,,,,,,,,,,,2.0,,6.0,3.0,,,2.0,6.0,8.0
Q51481,,,,,,,,,,,,,3.0,4.0,2.0,17.0,8.0,,,7.0,5.0
Q51485,,,,,,,,,,,,,4.0,,5.0,,,,,,
Q51487,,,,,,,,,,,,,19.0,8.0,18.0,,,,14.0,10.0,3.0
Q51547,,,,,,,,,,,,,,,,2.0,,,,,
Q51551,,,,,,,,,,,,,11.0,12.0,5.0,12.0,19.0,12.0,9.0,18.0,8.0
Q51559,,,,,,,,,,,,,3.0,3.0,4.0,10.0,9.0,5.0,3.0,3.0,7.0
Q51561,,,,,,,,,,,,,88.0,63.0,91.0,232.0,105.0,170.0,111.0,165.0,157.0
Q51564,,,,,,,,,,,,,,3.0,5.0,7.0,6.0,,,,3.0
Q51567,,,,,,,,,,,,,124.0,90.0,93.0,423.0,191.0,314.0,139.0,105.0,148.0
Q51576,,,,,,,,,,,,,,,,,,,10.0,2.0,
Q52LJ0,,,,,,,4.0,,,,,,,,,,,,,,
Q53FA3,,,,,,,,,,,4.0,8.0,,,,,,,,,
Q53GQ0,,,,,,,6.0,,7.0,,,3.0,,,,,,,,,
Q53GS9,,,,,,,5.0,4.0,3.0,,,,,,,,,,,,
Q53H12,,,,,,,2.0,,,,,4.0,,,,,,,,,
Q53QZ3,,,,,,,2.0,,,,,,,,,,,,,,
Q562R1,,,,,,,125.0,23.0,63.0,52.0,40.0,35.0,,,,,,,,,
Q56VL3,,,,,,,5.0,,,2.0,2.0,,,,,,,,,,
Q573B4,,,,,,,4.0,,3.0,13.0,6.0,9.0,,,,,,,,,
Q58FF6,,,,,,,6.0,204.0,15.0,,,4.0,,,,,,,,,
Q58FF7,,,,,,,25.0,412.0,157.0,36.0,27.0,26.0,,,,,,,,,
Q58FF8,,,,,,,,,3.0,,,3.0,,,,,,,,,
Q58FG0,,,,,,,,,37.0,15.0,14.0,23.0,,,,,,,,,
Q58FG1,,,,,,,7.0,202.0,127.0,16.0,5.0,2.0,,,,,,,,,
Q59192,,,,3.0,7.0,4.0,,,,,,,,,,,,,,,
Q59636,,,,,,,,,,,,,68.0,68.0,64.0,80.0,14.0,70.0,56.0,51.0,66.0
Q59637,,,,,,,,,,,,,67.0,57.0,53.0,332.0,729.0,103.0,80.0,135.0,116.0
Q59638,,,,,,,,,,,,,67.0,48.0,68.0,67.0,35.0,20.0,60.0,131.0,109.0
Q59641,,,,,,,,,,,,,,,,36.0,15.0,21.0,3.0,9.0,5.0
Q59643,,,,,,,,,,,,,9.0,,20.0,24.0,27.0,32.0,15.0,9.0,13.0
Q59646,,,,,,,,,,,,,5.0,6.0,10.0,,,,5.0,5.0,
Q59650,,,,,,,,,,,,,9.0,6.0,12.0,11.0,14.0,4.0,22.0,28.0,15.0
Q59653,,,,,,,,,,,,,11.0,7.0,5.0,26.0,33.0,7.0,14.0,23.0,16.0
Q59654,,,,,,,,,,,,,2.0,,2.0,,,2.0,,3.0,
Q5BJD5,,,,,,,2.0,,,,,,,,,,,,,,
Q5BJH7,,,,,,,4.0,,,,,,,,,,,,,,
Q5BKV1,,,,,,,30.0,40.0,76.0,26.0,8.0,,,,,,,,,,
Q5BKX5,,,,,,,,,,,,2.0,,,,,,,,,
Q5BKY9,,,,,,,,,,3.0,,,,,,,,,,,
Q5GFL6,,,,,,,2.0,,,,,,,,,,,,,,
Q5H928,,,,,,,,4.0,,,,,,,,,,,,,
Q5H9R7,,,,,,,3.0,,,,,,,,,,,,,,
Q5HY54,,,,,,,92.0,,190.0,20.0,14.0,22.0,,,,,,,,,
Q5JNZ6,,,,,,,9.0,5.0,,,,,,,,,,,,,
Q5JP01,,,,,,,37.0,8.0,8.0,,3.0,,,,,,,,,,
Q5JP02,,,,,,,9.0,7.0,2.0,,5.0,,,,,,,,,,
Q5JP53,,,,,,,373.0,421.0,219.0,93.0,128.0,225.0,,,,,,,,,
Q5JR01,,,,,,,110.0,317.0,52.0,104.0,39.0,205.0,,,,,,,,,
Q5JR05,,,,,,,23.0,18.0,48.0,,,7.0,,,,,,,,,
Q5JR89,,,,,,,5.0,,,,,,,,,,,,,,
Q5JRA6,,,,,,,,,2.0,,,,,,,,,,,,
Q5JRR6,,,,,,,11.0,10.0,12.0,5.0,7.0,4.0,,,,,,,,,
Q5JRS0,,,,,,,11.0,,,,,,,,,,,,,,
Q5JRX3,,,,,,,4.0,,,,,,,,,,,,,,
Q5JSD1,,,,,,,,,3.0,,,,,,,,,,,,
Q5JSH3,,,,,,,,,2.0,,,,,,,,,,,,
Q5JTH9,,,,,,,3.0,,,,,4.0,,,,,,,,,
Q5JTZ9,,,,,,,2.0,,,,,,,,,,,,,,
Q5JVF3,,,,,,,,,,2.0,,,,,,,,,,,
Q5JVS8,,,,,,,,,7.0,,,,,,,,,,,,
Q5JW30,,,,,,,5.0,,,,,,,,,,,,,,
Q5JWF2,,,,,,,,,2.0,,3.0,,,,,,,,,,
Q5JWT2,,,,,,,2.0,,,,3.0,2.0,,,,,,,,,
Q5JXT2,,,,,,,17.0,,10.0,,,,,,,,,,,,
Q5JYR4,,,,,,,11.0,17.0,,,2.0,,,,,,,,,,
Q5JYR7,,,,,,,12.0,17.0,4.0,5.0,3.0,,,,,,,,,,
Q5QNW6,,,,,,,,,,,128.0,,,,,,,,,,
Q5QPE2,,,,,,,,,,4.0,,,,,,,,,,,
Q5QPL9,,,,,,,9.0,,,,,,,,,,,,,,
Q5QPQ1,,,,,,,,,2.0,,,,,,,,,,,,
Q5R363,,,,,,,4.0,5.0,6.0,,3.0,,,,,,,,,,
Q5RI18,,,,,,,5.0,8.0,33.0,,11.0,3.0,,,,,,,,,
Q5RKV6,,,,,,,2.0,,,,,,,,,,,,,,
Q5SQP8,,,,,,,9.0,,,,,,,,,,,,,,
Q5SQT6,,,,,,,14.0,17.0,11.0,,2.0,5.0,,,,,,,,,
Q5SRE5,,,,,,,,5.0,3.0,,,3.0,,,,,,,,,
Q5SRN5,,,,,,,2.0,,32.0,,,,,,,,,,,,
Q5SRQ3,,,,,,,,,27.0,,,,,,,,,,,,
Q5SRQ6,,,,,,,10.0,2.0,32.0,6.0,4.0,5.0,,,,,,,,,
Q5SSJ5,,,,,,,12.0,,8.0,5.0,2.0,7.0,,,,,,,,,
Q5ST81,,,,,,,354.0,406.0,187.0,88.0,119.0,197.0,,,,,,,,,
Q5STU3,,,,,,,27.0,,14.0,,3.0,15.0,,,,,,,,,
Q5SVM7,,,,,,,3.0,,,,,,,,,,,,,,
Q5SVS4,,,,,,,2.0,,,,,,,,,,,,,,
