"","PA_sonic_1","PA_sonic_2","PA_sonic_3","PA_triflic_1","PA_triflic_2","PA_triflic_3"
"Q9HWE2",5.91175513820707,2.66207246217914,9.24870438050293,22.8250723266067,2.80034639935933,10.3812544969736
"Q9HWE3",1.31372336404602,0,6.60621741464495,9.39855919330862,4.66724399893222,14.1562561322367
"Q9HWE4",28.9019140090124,1.7747149747861,7.92746089757394,8.05590787997882,47.6058887891087,2.83125122644734
"Q9HWE5",3.28430841011504,0,6.60621741464495,14.7691644466278,12.1348343972238,32.0875138997365
"Q9HWE6",26.2744672809203,23.0712946722193,6.60621741464495,4.02795393998941,12.1348343972238,18.8750081763156
"Q9HWE7",26.2744672809203,15.0850772856818,30.3886001073668,16.1118157599576,50.406235188468,84.9375367934201
"Q9HWE8",0,0,0,5.37060525331921,2.80034639935933,2.83125122644734
"Q9HWE9",18.3921270966442,27.5080821091845,23.7823826927218,8.05590787997882,28.9369127933798,35.8625155349996
"Q9HWF0",63.7155831562318,40.8184444200802,25.1036261756508,22.8250723266067,68.1417623844105,64.175027799473
"Q9HWF1",8.53920186629911,0,14.5336783122189,8.05590787997882,6.53414159850511,28.3125122644734
"Q9HWF2",5.91175513820707,11.5356473361096,34.3523305561537,65.7899143531604,13.0682831970102,60.4000261642098
"Q9HWF3",5.91175513820707,2.66207246217914,0,10.7412105066384,0,10.3812544969736
"Q9HWF4",16.4215420505752,11.5356473361096,6.60621741464495,6.71325656664902,19.6024247955153,23.5937602203945
"Q9HWF5",0,3.54942994957219,0,14.7691644466278,18.6689759957289,20.7625089939471
"Q9HWF7",8.53920186629911,5.32414492435829,10.5699478634319,10.7412105066384,22.4027711948747,8.49375367934201
"Q9HWF8",93.9312205292902,158.836990243356,0,12.0838618199682,126.01558797117,15.1000065410525
"Q9HWF9",34.8136691472194,55.016164218369,39.6373044878697,51.0207499065325,66.2748647848376,58.5125253465783
"Q9HWG0",11.8235102764141,7.98621738653743,0,2.68530262665961,2.80034639935933,5.66250245289467
"Q9HWG9",3.28430841011504,0,0,4.02795393998941,9.33448799786445,2.83125122644734
"Q9HWH4",0,0,0,0,0,2.83125122644734
"Q9HWH7",0,6.21150241175134,0,6.71325656664902,2.80034639935933,2.83125122644734
"Q9HWH9",0,0,0,10.7412105066384,5.60069279871867,6.60625286171045
"Q9HWI0",0,1.7747149747861,0,4.02795393998941,2.80034639935933,0
"Q9HWI1",0,0,0,4.02795393998941,1.86689759957289,0
"Q9HWI2",9.85292523034512,2.66207246217914,15.8549217951479,4.02795393998941,6.53414159850511,5.66250245289467
"Q9HWI3",0,0,0,4.02795393998941,0,0
"Q9HWJ9",3.94117009213805,5.32414492435829,0,0,0,0
"Q9HWK1",26.2744672809203,76.3127439158021,3.96373044878697,21.4824210132769,16.802078396156,11.3250049057893
"Q9HWK5",2.62744672809203,0,2.64248696585798,4.02795393998941,2.80034639935933,6.60625286171045
"Q9HWL8",7.8823401842761,7.98621738653743,0,0,2.80034639935933,0
"Q9HWM5",0,0,0,13.426513133298,12.1348343972238,4.71875204407889
"Q9HWP3",1.97058504606902,0,0,0,0,0
"Q9HWP6",0,0,0,6.71325656664902,0,6.60625286171045
"Q9HWP8",3.28430841011504,1.7747149747861,0,34.9089341465749,50.406235188468,27.3687618556576
"Q9HWP9",9.85292523034512,5.32414492435829,5.28497393171596,16.1118157599576,8.401039198078,5.66250245289467
"Q9HWQ0",12.4803719584372,9.76093236132353,13.2124348292899,9.39855919330862,14.0017319967967,13.2125057234209
"Q9HWQ1",16.4215420505752,10.6482898487166,3.96373044878697,2.68530262665961,12.1348343972238,12.2687553146051
"Q9HWQ2",9.85292523034512,16.8597922604679,19.8186522439349,13.426513133298,9.33448799786445,31.1437634909207
"Q9HWQ8",3.94117009213805,4.43678743696524,2.64248696585798,0,0,0
"Q9HWR5",10.5097869123681,14.1977197982888,0,0,2.80034639935933,1.88750081763156
"Q9HWU9",1.31372336404602,2.66207246217914,0,4.02795393998941,28.0034639935933,2.83125122644734
"Q9HWV0",11.8235102764141,8.87357487393048,5.28497393171596,10.7412105066384,7.46759039829156,16.0437569498682
"Q9HWW1",32.1862224191274,21.2965796974332,33.0310870732248,1643.40520751568,733.690756632146,872.969128154595
"Q9HWW4",0,0,0,6.71325656664902,3.73379519914578,0
"Q9HWW7",15.7646803685522,23.9586521596123,17.1761652780769,20.1397696999471,6.53414159850511,21.7062594027629
"Q9HWX0",0,0,0,0,3.73379519914578,3.77500163526312
"Q9HWX1",1.97058504606902,3.54942994957219,0,0,0,1.88750081763156
"Q9HWX2",7.22547850225309,2.66207246217914,2.64248696585798,0,0,0
"Q9HWX3",1.97058504606902,5.32414492435829,0,0,0,0
"Q9HWX4",43.3528710135185,89.6231062266979,15.8549217951479,33.5662828332451,21.4693223950882,4.71875204407889
"Q9HWX5",7.8823401842761,5.32414492435829,7.92746089757394,116.810664259693,28.9369127933798,31.1437634909207
"Q9HWX6",6.56861682023008,4.43678743696524,7.92746089757394,0,0,0
"Q9HWY1",4.59803177416106,0,0,0,0,0
"Q9HWY4",3.28430841011504,5.32414492435829,0,0,0,0
"Q9HWY5",1.31372336404602,0,3.96373044878697,4.02795393998941,0,3.77500163526312
"Q9HWZ5",3.28430841011504,1.7747149747861,0,0,0,0
"Q9HWZ6",145.166431727085,178.358854966003,25.1036261756508,75.188473546469,102.679367976509,86.8250376110516
"Q9HX01",4.59803177416106,7.98621738653743,9.24870438050293,8.05590787997882,5.60069279871867,12.2687553146051
"Q9HX05",17.0784037325982,7.98621738653743,33.0310870732248,16.1118157599576,13.0682831970102,22.6500098115787
"Q9HX07",9.19606354832212,16.8597922604679,0,22.8250723266067,14.0017319967967,7.55000327052623
"Q9HX08",0,1.7747149747861,0,5.37060525331921,5.60069279871867,0
"Q9HX10",3.28430841011504,3.54942994957219,2.64248696585798,0,4.66724399893222,5.66250245289467
"Q9HX12",6.56861682023008,5.32414492435829,15.8549217951479,0,0,5.66250245289467
"Q9HX17",1.97058504606902,0,0,0,0,0
"Q9HX20",3.94117009213805,11.5356473361096,0,0,0,0
"Q9HX22",13.1372336404602,12.4230048235027,21.1398957268638,16.1118157599576,0,7.55000327052623
"Q9HX23",0,0,0,5.37060525331921,0,0
"Q9HX24",0,0,0,8.05590787997882,0,0
"Q9HX25",8.53920186629911,7.09885989914439,9.24870438050293,9.39855919330862,9.33448799786445,10.3812544969736
"Q9HX31",0,4.43678743696524,0,0,3.73379519914578,1.88750081763156
"Q9HX32",1.97058504606902,0,0,0,6.53414159850511,13.2125057234209
"Q9HX33",17.7352654146212,27.5080821091845,19.8186522439349,6.71325656664902,13.0682831970102,13.2125057234209
"Q9HX36",8.53920186629911,7.98621738653743,2.64248696585798,12.0838618199682,9.33448799786445,12.2687553146051
"Q9HX38",3.28430841011504,1.7747149747861,0,0,2.80034639935933,4.71875204407889
"Q9HX39",0,0,0,2.68530262665961,1.86689759957289,2.83125122644734
"Q9HX40",2.62744672809203,3.54942994957219,0,0,14.9351807965831,5.66250245289467
"Q9HX41",0,0,0,4.02795393998941,0,1.88750081763156
"Q9HX44",19.7058504606902,20.4092222100401,10.5699478634319,6.71325656664902,6.53414159850511,5.66250245289467
"Q9HX46",7.8823401842761,9.76093236132353,0,0,12.1348343972238,6.60625286171045
"Q9HX55",2.62744672809203,2.66207246217914,0,0,0,0
"Q9HX58",0,0,0,8.05590787997882,5.60069279871867,5.66250245289467
"Q9HX64",1.31372336404602,3.54942994957219,5.28497393171596,18.7971183866172,34.5376055920985,0
"Q9HX66",1.97058504606902,0,0,2.68530262665961,0,0
"Q9HX67",0,0,0,8.05590787997882,5.60069279871867,0
"Q9HX68",1.97058504606902,3.54942994957219,0,2.68530262665961,0,0
"Q9HX71",0,2.66207246217914,0,8.05590787997882,2.80034639935933,0
"Q9HX72",0,0,0,0,2.80034639935933,0
"Q9HX74",3.28430841011504,11.5356473361096,2.64248696585798,4.02795393998941,3.73379519914578,1.88750081763156
"Q9HX76",0,9.76093236132353,23.7823826927218,16.1118157599576,5.60069279871867,1.88750081763156
"Q9HX85",0,0,0,0,1.86689759957289,2.83125122644734
"Q9HX91",24.9607439168743,23.0712946722193,22.4611392097928,0,11.2013855974373,13.2125057234209
"Q9HX93",0,0,0,4.02795393998941,3.73379519914578,1.88750081763156
"Q9HX94",10.5097869123681,16.8597922604679,10.5699478634319,0,2.80034639935933,4.71875204407889
"Q9HX95",3.28430841011504,8.87357487393048,0,4.02795393998941,0,0
"Q9HXA0",3.94117009213805,3.54942994957219,2.64248696585798,0,0,0
"Q9HXA1",0,0,2.64248696585798,6.71325656664902,3.73379519914578,5.66250245289467
"Q9HXA2",0,0,0,0,0,2.83125122644734
"Q9HXA5",1.97058504606902,0,0,0,0,0
"Q9HXB0",4.59803177416106,11.5356473361096,14.5336783122189,5.37060525331921,9.33448799786445,4.71875204407889
"Q9HXB1",3.28430841011504,4.43678743696524,0,0,0,0
"Q9HXB2",0,0,0,2.68530262665961,1.86689759957289,0
"Q9HXB7",2.62744672809203,2.66207246217914,0,12.0838618199682,3.73379519914578,8.49375367934201
"Q9HXC2",3.28430841011504,8.87357487393048,29.0673566244378,4.02795393998941,0,0
"Q9HXC6",1.31372336404602,0,3.96373044878697,2.68530262665961,2.80034639935933,2.83125122644734
"Q9HXD3",3.28430841011504,0,2.64248696585798,0,1.86689759957289,1.88750081763156
"Q9HXE4",6.56861682023008,6.21150241175134,0,4.02795393998941,7.46759039829156,6.60625286171045
"Q9HXE5",1.31372336404602,14.1977197982888,0,28.1956775799259,6.53414159850511,9.43750408815779
"Q9HXE7",11.1666485943911,5.32414492435829,23.7823826927218,17.4544670732874,34.5376055920985,12.2687553146051
"Q9HXE8",0,1.7747149747861,0,6.71325656664902,1.86689759957289,1.88750081763156
"Q9HXF4",9.19606354832212,13.3103623108957,0,6.71325656664902,6.53414159850511,1.88750081763156
"Q9HXF7",1.97058504606902,0,0,5.37060525331921,6.53414159850511,0
"Q9HXF8",0,0,0,0,5.60069279871867,7.55000327052623
"Q9HXG0",2.62744672809203,1.7747149747861,9.24870438050293,0,0,4.71875204407889
"Q9HXG2",4.59803177416106,6.21150241175134,5.28497393171596,5.37060525331921,12.1348343972238,0
"Q9HXG8",17.0784037325982,18.634507235254,13.2124348292899,0,4.66724399893222,5.66250245289467
"Q9HXH0",26.9313289629433,12.4230048235027,19.8186522439349,6.71325656664902,15.8686295963696,12.2687553146051
"Q9HXH1",0,15.9724347730749,0,0,3.73379519914578,0
"Q9HXH4",0,0,0,0,0,2.83125122644734
"Q9HXH8",3.28430841011504,3.54942994957219,0,0,0,3.77500163526312
"Q9HXH9",7.8823401842761,10.6482898487166,0,0,8.401039198078,2.83125122644734
"Q9HXI0",0,0,0,9.39855919330862,0,0
"Q9HXI1",0,0,0,0,1.86689759957289,7.55000327052623
"Q9HXI3",1.31372336404602,0,0,0,7.46759039829156,1.88750081763156
