"","BS_sonic_1","BS_sonic_2","BS_sonic_3","BS_triflic_1","BS_triflic_2","BS_triflic_3"
"P46354",9.14146172513216,6.60297333748517,5.30005296896927,14.4611977716424,26.4221866570782,23.396971171259
"P46898",53.8330523813338,53.9242822561289,59.3605932524558,22.8968964717671,34.9150323682819,62.8793600227587
"P46899",0,0,0,8.43569870012471,4.7182476173354,16.0854176802406
"P46905",4.06287187783651,0,0,3.61529944291059,0,2.19346604730554
"P46906",34.5344109616104,33.0148666874258,36.040360188991,14.4611977716424,13.2110933285391,16.0854176802406
"P46907",0,0,0,22.8968964717671,28.3094857040124,8.77386418922214
"P46908",0,0,0,0,0,5.11808744371292
"P46910",0,0,0,0,0,5.11808744371292
"P46911",16.2514875113461,19.8089200124555,22.2602224696709,16.8713974002494,16.0420418989404,13.1607962838332
"P46912",0,0,0,3.61529944291059,1.88729904693416,1.46231069820369
"P46913",2.03143593891826,0,5.30005296896927,2.41019962860706,0,2.92462139640738
"P46918",0,0,0,0,2.83094857040124,0
"P46919",13.2043336029687,9.90446000622775,4.24004237517541,37.3580942434094,39.6332799856173,33.6331460586849
"P46920",10.1571796945913,12.1054511187228,12.7201271255262,13.2560979573388,10.3801447581379,9.50501953832399
"P46922",3.04715390837739,0,0,0,0,1.46231069820369
"P49778",7.1100257862139,5.50247778123764,0,6.02549907151765,13.2110933285391,4.38693209461107
"P49786",5.07858984729564,6.60297333748517,5.30005296896927,2.41019962860706,0,3.65577674550923
"P49787",25.3929492364782,30.8138755749308,20.1402012820832,28.9223955432847,50.9570742672223,39.4823888514996
"P49814",111.728976640504,106.74806895601,152.641525506315,120.509981430353,131.167283761924,350.223412219784
"P49849",2.03143593891826,0,0,14.4611977716424,12.267443805072,12.4296409347314
"P49850",4.06287187783651,4.40198222499011,4.24004237517541,2.41019962860706,0,3.65577674550923
"P49851",0,0,3.18003178138156,3.61529944291059,8.49284571120372,8.77386418922214
"P49852",5.07858984729564,8.80396444998022,7.42007415655697,19.2815970288565,18.8729904693416,21.9346604730554
"P49938",0,0,0,0,4.7182476173354,2.92462139640738
"P50620",5.07858984729564,5.50247778123764,4.24004237517541,26.5121959146777,26.4221866570782,26.3215925676664
"P50621",6.09430781675477,6.60297333748517,6.36006356276312,4.82039925721412,4.7182476173354,4.38693209461107
"P50727",20.3143593891826,34.1153622436734,18.0201800944955,0,0,6.58039814191661
"P50735",15.2357695418869,19.8089200124555,14.8401483131139,46.9988927578377,32.0840837978807,54.1054958335365
"P50736",12.1886156335095,8.80396444998022,11.6601165317324,27.7172957289812,26.4221866570782,48.2562530407218
"P50743",7.1100257862139,2.20099111249506,5.30005296896927,12.0509981430353,12.267443805072,21.2035051239535
"P50829",9.14146172513216,8.80396444998022,9.54009534414468,0,8.49284571120372,11.6984855856295
"P50830",0,0,0,2.41019962860706,0,2.92462139640738
"P50838",0,0,0,0,0,2.19346604730554
"P50840",8.12574375567303,5.50247778123764,5.30005296896927,0,0,2.92462139640738
"P50843",4.06287187783651,7.70346889373269,3.18003178138156,7.23059888582118,2.83094857040124,5.11808744371292
"P50848",7.1100257862139,5.50247778123764,6.36006356276312,19.2815970288565,16.0420418989404,15.3542623311387
"P50849",42.6601547172834,45.1203178061486,42.4004237517541,12.0509981430353,17.9293409458745,23.396971171259
"P50863",17.2672054808052,20.909415568703,27.5602754386402,49.4090923864447,58.5062704549589,57.7612725790458
"P50866",10.1571796945913,15.4069377874654,12.7201271255262,62.6651903437835,26.4221866570782,41.6758548988052
"P51777",557.629165233062,332.349657986753,836.34835850335,14.4611977716424,771.905310196071,91.3944186377306
"P51785",48.7544625340382,55.0247778123764,55.1205508772804,0,0,2.19346604730554
"P51831",4.06287187783651,8.80396444998022,4.24004237517541,4.82039925721412,8.49284571120372,68.7286028155734
"P51833",0,0,0,8.43569870012471,7.54919618773664,7.31155349101845
"P51834",0,0,2.12002118758771,2.41019962860706,3.77459809386832,4.38693209461107
"P51835",11.1728976640504,19.8089200124555,9.54009534414468,4.82039925721412,3.77459809386832,3.65577674550923
"P52035",0,0,0,0,2.83094857040124,0
"P52996",8.12574375567303,14.3064422312179,10.6001059379385,15.6662975859459,9.4364952346708,12.4296409347314
"P52998",3.04715390837739,5.50247778123764,2.12002118758771,4.82039925721412,9.4364952346708,7.31155349101845
"P53001",35.5501289310695,41.8188311374061,29.6802966262279,134.971179201995,141.547428520062,121.371787950906
"P54154",6.09430781675477,6.60297333748517,8.48008475035083,3.61529944291059,0,3.65577674550923
"P54155",6.09430781675477,8.80396444998022,4.24004237517541,6.02549907151765,1.88729904693416,8.77386418922214
"P54159",0,0,0,2.41019962860706,0,1.46231069820369
"P54161",0,0,0,0,0,2.19346604730554
"P54166",2.03143593891826,2.20099111249506,2.12002118758771,0,0,1.46231069820369
"P54167",0,0,0,4.82039925721412,8.49284571120372,0
"P54168",0,0,0,3.61529944291059,1.88729904693416,2.19346604730554
"P54169",10.1571796945913,14.3064422312179,11.6601165317324,2.41019962860706,2.83094857040124,2.19346604730554
"P54170",9.14146172513216,11.0049555624753,16.9601695007017,50.6141922007482,34.9150323682819,34.3643014077867
"P54173",55.8644883202521,52.8237866998813,46.6404661269296,4.82039925721412,8.49284571120372,3.65577674550923
"P54178",9.14146172513216,11.0049555624753,16.9601695007017,0,0,0
"P54182",0,3.30148666874258,0,3.61529944291059,0,0
"P54304",4.06287187783651,0,2.12002118758771,0,0,0
"P54374",6.09430781675477,4.40198222499011,6.36006356276312,2.41019962860706,0,4.38693209461107
"P54375",10.1571796945913,8.80396444998022,18.0201800944955,439.861432220788,1045.56367200152,454.047471792246
"P54376",50.7858984729564,59.4267600373665,50.880508502105,25.3070961003741,36.8023314152161,35.0954567568886
"P54377",141.184797754819,103.446582287268,108.121080566973,43.3835933149271,49.0697752202881,28.515058614972
"P54378",18.2829234502643,17.6079288999604,21.2002118758771,10.8458983287318,9.4364952346708,25.5904372185646
"P54380",3.04715390837739,0,2.12002118758771,6.02549907151765,0,2.92462139640738
"P54381",13.2043336029687,18.708424456208,16.9601695007017,54.2294916436588,59.449919978426,40.2135442006015
